date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,214.31,214.31,214.31,214.31,214.31,214.31
2010-01-05,214.27,214.27,214.27,214.27,214.27,214.27
2010-01-06,210.84,210.84,210.84,210.84,210.84,210.84
2010-01-07,210.42,210.42,210.42,210.42,210.42,210.42
2010-01-08,211.83,211.83,211.83,211.83,211.83,211.83
2010-01-11,210.23,210.23,210.23,210.23,210.23,210.23
2010-01-12,207.33,207.33,207.33,207.33,207.33,207.33
2010-01-13,210.74,210.74,210.74,210.74,210.74,210.74
2010-01-14,209.42,209.42,209.42,209.42,209.42,209.42
2010-01-15,206.01,206.01,206.01,206.01,206.01,206.01
2010-01-19,214.97,214.97,214.97,214.97,214.97,214.97
2010-01-20,211.94,211.94,211.94,211.94,211.94,211.94
2010-01-21,207.92,207.92,207.92,207.92,207.92,207.92
2010-01-22,197.94,197.94,197.94,197.94,197.94,197.94
2010-01-25,202.8,202.8,202.8,202.8,202.8,202.8
2010-01-26,205.87,205.87,205.87,205.87,205.87,205.87
2010-01-27,208.27,208.27,208.27,208.27,208.27,208.27
2010-01-28,199.22,199.22,199.22,199.22,199.22,199.22
2010-01-29,192.66,192.66,192.66,192.66,192.66,192.66
2010-02-01,194.58,194.58,194.58,194.58,194.58,194.58
2010-02-02,195.7,195.7,195.7,195.7,195.7,195.7
2010-02-03,199.47,199.47,199.47,199.47,199.47,199.47
2010-02-04,192.06,192.06,192.06,192.06,192.06,192.06
2010-02-05,195.63,195.63,195.63,195.63,195.63,195.63
2010-02-08,194.32,194.32,194.32,194.32,194.32,194.32
2010-02-09,196.23,196.23,196.23,196.23,196.23,196.23
2010-02-10,195.04,195.04,195.04,195.04,195.04,195.04
2010-02-11,198.78,198.78,198.78,198.78,198.78,198.78
2010-02-12,200.46,200.46,200.46,200.46,200.46,200.46
2010-02-16,203.43,203.43,203.43,203.43,203.43,203.43
2010-02-17,202.55,202.55,202.55,202.55,202.55,202.55
2010-02-18,203.04,203.04,203.04,203.04,203.04,203.04
2010-02-19,201.69,201.69,201.69,201.69,201.69,201.69
2010-02-22,200.45,200.45,200.45,200.45,200.45,200.45
2010-02-23,197.03,197.03,197.03,197.03,197.03,197.03
2010-02-24,200.6,200.6,200.6,200.6,200.6,200.6
2010-02-25,202.03,202.03,202.03,202.03,202.03,202.03
2010-02-26,204.68,204.68,204.68,204.68,204.68,204.68
2010-03-01,208.89,208.89,208.89,208.89,208.89,208.89
2010-03-02,208.1,208.1,208.1,208.1,208.1,208.1
2010-03-03,209.39,209.39,209.39,209.39,209.39,209.39
2010-03-04,210.32,210.32,210.32,210.32,210.32,210.32
2010-03-05,219.21,219.21,219.21,219.21,219.21,219.21
2010-03-08,219.14,219.14,219.14,219.14,219.14,219.14
2010-03-09,223.02,223.02,223.02,223.02,223.02,223.02
2010-03-10,224.8,224.8,224.8,224.8,224.8,224.8
2010-03-11,225.26,225.26,225.26,225.26,225.26,225.26
2010-03-12,226.62,226.62,226.62,226.62,226.62,226.62
2010-03-15,223.9,223.9,223.9,223.9,223.9,223.9
2010-03-16,224.49,224.49,224.49,224.49,224.49,224.49
2010-03-17,224.29,224.29,224.29,224.29,224.29,224.29
2010-03-18,224.9,224.9,224.9,224.9,224.9,224.9
2010-03-19,221.89,221.89,221.89,221.89,221.89,221.89
2010-03-22,225.05,225.05,225.05,225.05,225.05,225.05
2010-03-23,228.35,228.35,228.35,228.35,228.35,228.35
2010-03-24,229.82,229.82,229.82,229.82,229.82,229.82
2010-03-25,226.96,226.96,226.96,226.96,226.96,226.96
2010-03-26,230.76,230.76,230.76,230.76,230.76,230.76
2010-03-29,232.26,232.26,232.26,232.26,232.26,232.26
2010-03-30,236.01,236.01,236.01,236.01,236.01,236.01
2010-03-31,234.81,234.81,234.81,234.81,234.81,234.81
