date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.95,30.95,30.95,30.95,30.95,30.95
2010-01-05,30.93,30.93,30.93,30.93,30.93,30.93
2010-01-06,30.75,30.75,30.75,30.75,30.75,30.75
2010-01-07,30.45,30.45,30.45,30.45,30.45,30.45
2010-01-08,30.68,30.68,30.68,30.68,30.68,30.68
2010-01-11,30.24,30.24,30.24,30.24,30.24,30.24
2010-01-12,30.03,30.03,30.03,30.03,30.03,30.03
2010-01-13,30.37,30.37,30.37,30.37,30.37,30.37
2010-01-14,31.01,31.01,31.01,31.01,31.01,31.01
2010-01-15,30.9,30.9,30.9,30.9,30.9,30.9
2010-01-19,31.1,31.1,31.1,31.1,31.1,31.1
2010-01-20,30.61,30.61,30.61,30.61,30.61,30.61
2010-01-21,30.06,30.06,30.06,30.06,30.06,30.06
2010-01-22,28.95,28.95,28.95,28.95,28.95,28.95
2010-01-25,29.37,29.37,29.37,29.37,29.37,29.37
2010-01-26,29.55,29.55,29.55,29.55,29.55,29.55
2010-01-27,29.7,29.7,29.7,29.7,29.7,29.7
2010-01-28,29.29,29.29,29.29,29.29,29.29,29.29
2010-01-29,28.12,28.12,28.12,28.12,28.12,28.12
2010-02-01,28.37,28.37,28.37,28.37,28.37,28.37
2010-02-02,28.47,28.47,28.47,28.47,28.47,28.47
2010-02-03,28.61,28.61,28.61,28.61,28.61,28.61
2010-02-04,27.86,27.86,27.86,27.86,27.86,27.86
2010-02-05,28.01,28.01,28.01,28.01,28.01,28.01
2010-02-08,27.72,27.72,27.72,27.72,27.72,27.72
2010-02-09,28.02,28.02,28.02,28.02,28.02,28.02
2010-02-10,27.97,27.97,27.97,27.97,27.97,27.97
2010-02-11,28.13,28.13,28.13,28.13,28.13,28.13
2010-02-12,27.95,27.95,27.95,27.95,27.95,27.95
2010-02-16,28.35,28.35,28.35,28.35,28.35,28.35
2010-02-17,28.61,28.61,28.61,28.61,28.61,28.61
2010-02-18,28.97,28.97,28.97,28.97,28.97,28.97
2010-02-19,28.78,28.78,28.78,28.78,28.78,28.78
