date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.1,17.1,17.1,17.1,17.1,17.1
2010-01-05,17.22,17.22,17.22,17.22,17.22,17.22
2010-01-06,17.16,17.16,17.16,17.16,17.16,17.16
2010-01-07,16.7,16.7,16.7,16.7,16.7,16.7
2010-01-08,16.7,16.7,16.7,16.7,16.7,16.7
2010-01-11,16.8,16.8,16.8,16.8,16.8,16.8
2010-01-12,16.69,16.69,16.69,16.69,16.69,16.69
2010-01-13,16.88,16.88,16.88,16.88,16.88,16.88
2010-01-14,17.17,17.17,17.17,17.17,17.17,17.17
2010-01-15,16.85,16.85,16.85,16.85,16.85,16.85
2010-01-19,16.74,16.74,16.74,16.74,16.74,16.74
2010-01-20,16.4,16.4,16.4,16.4,16.4,16.4
2010-01-21,16.22,16.22,16.22,16.22,16.22,16.22
2010-01-22,15.86,15.86,15.86,15.86,15.86,15.86
2010-01-25,15.88,15.88,15.88,15.88,15.88,15.88
2010-01-26,15.98,15.98,15.98,15.98,15.98,15.98
2010-01-27,15.96,15.96,15.96,15.96,15.96,15.96
2010-01-28,15.48,15.48,15.48,15.48,15.48,15.48
2010-01-29,15.08,15.08,15.08,15.08,15.08,15.08
2010-02-01,15.05,15.05,15.05,15.05,15.05,15.05
2010-02-02,15.16,15.16,15.16,15.16,15.16,15.16
2010-02-03,15.46,15.46,15.46,15.46,15.46,15.46
2010-02-04,15.04,15.04,15.04,15.04,15.04,15.04
2010-02-05,15.18,15.18,15.18,15.18,15.18,15.18
2010-02-08,15.0,15.0,15.0,15.0,15.0,15.0
2010-02-09,15.09,15.09,15.09,15.09,15.09,15.09
2010-02-10,14.82,14.82,14.82,14.82,14.82,14.82
2010-02-11,15.23,15.23,15.23,15.23,15.23,15.23
2010-02-12,15.18,15.18,15.18,15.18,15.18,15.18
2010-02-16,15.43,15.43,15.43,15.43,15.43,15.43
2010-02-17,15.44,15.44,15.44,15.44,15.44,15.44
2010-02-18,15.53,15.53,15.53,15.53,15.53,15.53
2010-02-19,15.58,15.58,15.58,15.58,15.58,15.58
2010-02-22,15.5,15.5,15.5,15.5,15.5,15.5
2010-02-23,15.39,15.39,15.39,15.39,15.39,15.39
2010-02-24,15.59,15.59,15.59,15.59,15.59,15.59
2010-02-25,15.24,15.24,15.24,15.24,15.24,15.24
2010-02-26,15.32,15.32,15.32,15.32,15.32,15.32
2010-03-01,15.79,15.79,15.79,15.79,15.79,15.79
2010-03-02,15.71,15.71,15.71,15.71,15.71,15.71
2010-03-03,15.57,15.57,15.57,15.57,15.57,15.57
2010-03-04,15.79,15.79,15.79,15.79,15.79,15.79
2010-03-05,16.05,16.05,16.05,16.05,16.05,16.05
2010-03-08,16.56,16.56,16.56,16.56,16.56,16.56
2010-03-09,16.55,16.55,16.55,16.55,16.55,16.55
2010-03-10,16.8,16.8,16.8,16.8,16.8,16.8
2010-03-11,16.56,16.56,16.56,16.56,16.56,16.56
2010-03-12,16.35,16.35,16.35,16.35,16.35,16.35
2010-03-15,16.45,16.45,16.45,16.45,16.45,16.45
2010-03-16,16.38,16.38,16.38,16.38,16.38,16.38
2010-03-17,16.52,16.52,16.52,16.52,16.52,16.52
2010-03-18,16.56,16.56,16.56,16.56,16.56,16.56
2010-03-19,16.44,16.44,16.44,16.44,16.44,16.44
2010-03-22,16.36,16.36,16.36,16.36,16.36,16.36
2010-03-23,16.05,16.05,16.05,16.05,16.05,16.05
2010-03-24,16.1,16.1,16.1,16.1,16.1,16.1
2010-03-25,16.4,16.4,16.4,16.4,16.4,16.4
2010-03-26,16.52,16.52,16.52,16.52,16.52,16.52
2010-03-29,16.55,16.55,16.55,16.55,16.55,16.55
2010-03-30,16.63,16.63,16.63,16.63,16.63,16.63
2010-03-31,16.53,16.53,16.53,16.53,16.53,16.53
2010-04-01,16.24,16.24,16.24,16.24,16.24,16.24
2010-04-05,16.53,16.53,16.53,16.53,16.53,16.53
2010-04-06,16.94,16.94,16.94,16.94,16.94,16.94
2010-04-07,16.86,16.86,16.86,16.86,16.86,16.86
2010-04-08,17.38,17.38,17.38,17.38,17.38,17.38
2010-04-09,17.51,17.51,17.51,17.51,17.51,17.51
2010-04-12,17.65,17.65,17.65,17.65,17.65,17.65
2010-04-13,18.28,18.28,18.28,18.28,18.28,18.28
2010-04-14,18.36,18.36,18.36,18.36,18.36,18.36
2010-04-15,18.99,18.99,18.99,18.99,18.99,18.99
2010-04-16,18.23,18.23,18.23,18.23,18.23,18.23
2010-04-19,18.38,18.38,18.38,18.38,18.38,18.38
2010-04-20,18.37,18.37,18.37,18.37,18.37,18.37
2010-04-21,17.48,17.48,17.48,17.48,17.48,17.48
2010-04-22,17.77,17.77,17.77,17.77,17.77,17.77
2010-04-23,17.63,17.63,17.63,17.63,17.63,17.63
2010-04-26,17.38,17.38,17.38,17.38,17.38,17.38
2010-04-27,16.9,16.9,16.9,16.9,16.9,16.9
2010-04-28,16.77,16.77,16.77,16.77,16.77,16.77
2010-04-29,16.95,16.95,16.95,16.95,16.95,16.95
2010-04-30,16.59,16.59,16.59,16.59,16.59,16.59
2010-05-03,16.93,16.93,16.93,16.93,16.93,16.93
2010-05-04,16.35,16.35,16.35,16.35,16.35,16.35
2010-05-05,16.52,16.52,16.52,16.52,16.52,16.52
