Date,Open,High,Low,Close,Adj Close,Volume
1999-03-05,21.171881,21.625000,21.171881,21.625000,14.019898,4200
1999-03-08,21.437500,21.765619,21.437500,21.765619,14.111067,6700
1999-03-09,21.656250,21.656250,21.500000,21.578119,13.989511,5600
1999-03-10,21.593750,21.968750,21.546881,21.875000,14.181975,26800
1999-03-11,21.984381,22.218750,21.937500,22.109381,14.333930,13900
1999-03-12,22.296881,22.359381,22.015619,22.015619,14.273147,7900
1999-03-15,22.015619,22.156250,21.906250,22.062500,14.303538,6700
1999-03-16,22.031250,22.093750,21.953119,21.968750,14.242761,7500
1999-03-17,22.078119,22.078119,21.875000,21.906250,14.202237,3500
1999-03-18,22.140619,22.375000,22.015619,22.375000,14.506136,11300
1999-03-19,22.625000,22.625000,22.328119,22.328119,14.524426,5300
1999-03-22,22.234381,22.468750,22.234381,22.390619,14.565081,24900
1999-03-23,22.281250,22.281250,21.703119,21.828119,14.199179,16700
1999-03-24,21.734381,22.000000,21.687500,21.843750,14.209352,76000
1999-03-25,21.843750,22.125000,21.843750,21.921881,14.260166,3800
1999-03-26,21.703119,21.906250,21.625000,21.750000,14.148362,4200
1999-03-29,21.984381,22.218750,21.921881,22.109381,14.382144,5300
1999-03-30,22.093750,22.093750,21.843750,22.062500,14.351643,16500
1999-03-31,21.937500,22.046881,21.718750,21.750000,14.148362,10600
1999-04-01,21.781250,22.171881,21.781250,22.000000,14.310992,12300
1999-04-05,22.062500,22.421881,22.062500,22.265619,14.483780,11900
1999-04-06,22.140619,22.265619,21.875000,21.875000,14.229679,52800
1999-04-07,22.000000,22.187500,21.937500,22.109381,14.382144,45200
1999-04-08,22.078119,22.421881,22.046881,22.421881,14.585419,12000
1999-04-09,22.093750,22.453119,22.093750,22.312500,14.514267,25100
1999-04-12,22.312500,23.015619,22.312500,22.968750,14.941155,16200
1999-04-13,23.140619,23.296881,23.015619,23.250000,15.124114,68000
1999-04-14,23.406250,24.921881,23.250000,24.375000,15.855923,300700
1999-04-15,24.687500,25.859381,24.687500,25.312500,16.465763,1005500
1999-04-16,25.468750,25.890619,25.375000,25.593750,16.648716,170800
1999-04-19,25.593750,26.843750,25.593750,25.859381,16.821514,864200
1999-04-20,25.921881,25.937500,25.453119,25.546881,16.618227,140800
1999-04-21,25.718750,25.843750,25.421881,25.656250,16.689377,83200
