Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MomentumStrategy2,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2009-01-02 23:59:59.999989,902.99,934.73,899.35,931.8,4048270000.0,0.0,MomentumStrategy2,1,733409.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2009-01-05 23:59:59.999989,929.17,936.63,919.53,927.45,5413910000.0,0.0,MomentumStrategy2,2,733412.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2009-01-06 23:59:59.999989,931.17,943.85,927.28,934.7,5392620000.0,0.0,MomentumStrategy2,3,733413.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2009-01-07 23:59:59.999989,927.45,927.45,902.37,906.65,4704940000.0,0.0,MomentumStrategy2,4,733414.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2009-01-08 23:59:59.999989,905.73,910.0,896.81,909.73,4991550000.0,0.0,MomentumStrategy2,5,733415.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2009-01-09 23:59:59.999989,909.91,911.93,888.31,890.35,4716500000.0,0.0,MomentumStrategy2,6,733416.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2009-01-12 23:59:59.999989,890.4,890.4,864.32,870.26,4725050000.0,0.0,MomentumStrategy2,7,733419.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2009-01-13 23:59:59.999989,869.79,877.02,862.02,871.79,5567460000.0,0.0,MomentumStrategy2,8,733420.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2009-01-14 23:59:59.999989,867.28,867.28,836.93,842.62,5407880000.0,0.0,MomentumStrategy2,9,733421.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2009-01-15 23:59:59.999989,841.99,851.59,817.04,843.74,7807350000.0,0.0,MomentumStrategy2,10,733422.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2009-01-16 23:59:59.999989,844.45,858.13,830.66,850.12,6786040000.0,0.0,MomentumStrategy2,11,733423.9999999999,MACD,11,,,CrossOver,11,,CrossDown,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
12,spx-1950-2018,12,2009-01-20 23:59:59.999989,849.64,849.64,804.47,805.22,6375230000.0,0.0,MomentumStrategy2,12,733427.9999999999,MACD,12,,,CrossOver,12,,CrossDown,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
13,spx-1950-2018,13,2009-01-21 23:59:59.999989,806.77,841.72,804.3,840.24,6467830000.0,0.0,MomentumStrategy2,13,733428.9999999999,MACD,13,,,CrossOver,13,,CrossDown,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,
14,spx-1950-2018,14,2009-01-22 23:59:59.999989,839.74,839.74,811.29,827.5,5843830000.0,0.0,MomentumStrategy2,14,733429.9999999999,MACD,14,,,CrossOver,14,,CrossDown,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,
15,spx-1950-2018,15,2009-01-23 23:59:59.999989,822.16,838.61,806.07,831.95,5832160000.0,0.0,MomentumStrategy2,15,733430.9999999999,MACD,15,,,CrossOver,15,,CrossDown,15,,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
16,spx-1950-2018,16,2009-01-26 23:59:59.999989,832.5,852.53,827.69,836.57,6039940000.0,0.0,MomentumStrategy2,16,733433.9999999999,MACD,16,,,CrossOver,16,,CrossDown,16,,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,
17,spx-1950-2018,17,2009-01-27 23:59:59.999989,837.3,850.45,835.4,845.71,5353260000.0,0.0,MomentumStrategy2,17,733434.9999999999,MACD,17,,,CrossOver,17,,CrossDown,17,,Broker,17,100000.0,100000.0,BuySell,17,,,Trades,17,,
18,spx-1950-2018,18,2009-01-28 23:59:59.999989,845.73,877.86,845.73,874.09,6199180000.0,0.0,MomentumStrategy2,18,733435.9999999999,MACD,18,,,CrossOver,18,,CrossDown,18,,Broker,18,100000.0,100000.0,BuySell,18,,,Trades,18,,
19,spx-1950-2018,19,2009-01-29 23:59:59.999989,868.89,868.89,844.15,845.14,5067060000.0,0.0,MomentumStrategy2,19,733436.9999999999,MACD,19,,,CrossOver,19,,CrossDown,19,,Broker,19,100000.0,100000.0,BuySell,19,,,Trades,19,,
20,spx-1950-2018,20,2009-01-30 23:59:59.999989,845.69,851.66,821.67,825.88,5350580000.0,0.0,MomentumStrategy2,20,733437.9999999999,MACD,20,,,CrossOver,20,,CrossDown,20,,Broker,20,100000.0,100000.0,BuySell,20,,,Trades,20,,
21,spx-1950-2018,21,2009-02-02 23:59:59.999989,823.09,830.78,812.87,825.44,5673270000.0,0.0,MomentumStrategy2,21,733440.9999999999,MACD,21,,,CrossOver,21,,CrossDown,21,,Broker,21,100000.0,100000.0,BuySell,21,,,Trades,21,,
22,spx-1950-2018,22,2009-02-03 23:59:59.999989,825.69,842.6,821.98,838.51,5886310000.0,0.0,MomentumStrategy2,22,733441.9999999999,MACD,22,,,CrossOver,22,,CrossDown,22,,Broker,22,100000.0,100000.0,BuySell,22,,,Trades,22,,
23,spx-1950-2018,23,2009-02-04 23:59:59.999989,837.77,851.85,829.18,832.23,6420450000.0,0.0,MomentumStrategy2,23,733442.9999999999,MACD,23,,,CrossOver,23,,CrossDown,23,,Broker,23,100000.0,100000.0,BuySell,23,,,Trades,23,,
24,spx-1950-2018,24,2009-02-05 23:59:59.999989,831.75,850.55,819.91,845.85,6624030000.0,0.0,MomentumStrategy2,24,733443.9999999999,MACD,24,,,CrossOver,24,,CrossDown,24,,Broker,24,100000.0,100000.0,BuySell,24,,,Trades,24,,
25,spx-1950-2018,25,2009-02-06 23:59:59.999989,846.09,870.75,845.42,868.6,6484100000.0,0.0,MomentumStrategy2,25,733444.9999999999,MACD,25,,,CrossOver,25,,CrossDown,25,,Broker,25,100000.0,100000.0,BuySell,25,,,Trades,25,,
26,spx-1950-2018,26,2009-02-09 23:59:59.999989,868.24,875.01,861.65,869.89,5574370000.0,0.0,MomentumStrategy2,26,733447.9999999999,MACD,26,9.554562154341852,,CrossOver,26,,CrossDown,26,,Broker,26,100000.0,100000.0,BuySell,26,,,Trades,26,,
27,spx-1950-2018,27,2009-02-10 23:59:59.999989,866.87,868.05,822.99,827.16,6770170000.0,0.0,MomentumStrategy2,27,733448.9999999999,MACD,27,10.802617680892808,,CrossOver,27,,CrossDown,27,,Broker,27,100000.0,100000.0,BuySell,27,,,Trades,27,,
28,spx-1950-2018,28,2009-02-11 23:59:59.999989,827.41,838.22,822.3,833.74,5926460000.0,0.0,MomentumStrategy2,28,733449.9999999999,MACD,28,11.132431923280024,,CrossOver,28,,CrossDown,28,,Broker,28,100000.0,100000.0,BuySell,28,,,Trades,28,,
29,spx-1950-2018,29,2009-02-12 23:59:59.999989,829.91,835.48,808.06,835.19,6476460000.0,0.0,MomentumStrategy2,29,733450.9999999999,MACD,29,11.148298558503257,,CrossOver,29,,CrossDown,29,,Broker,29,100000.0,100000.0,BuySell,29,,,Trades,29,,
30,spx-1950-2018,30,2009-02-13 23:59:59.999989,833.95,839.43,825.21,826.84,5296650000.0,0.0,MomentumStrategy2,30,733451.9999999999,MACD,30,11.699780411644042,,CrossOver,30,,CrossDown,30,,Broker,30,100000.0,100000.0,BuySell,30,,,Trades,30,,
31,spx-1950-2018,31,2009-02-17 23:59:59.999989,818.61,818.61,789.17,789.17,5907820000.0,0.0,MomentumStrategy2,31,733455.9999999999,MACD,31,15.003536502718475,,CrossOver,31,,CrossDown,31,,Broker,31,100000.0,100000.0,BuySell,31,,,Trades,31,,
32,spx-1950-2018,32,2009-02-18 23:59:59.999989,791.06,796.17,780.43,788.42,5740710000.0,0.0,MomentumStrategy2,32,733456.9999999999,MACD,32,17.48079798144954,,CrossOver,32,,CrossDown,32,,Broker,32,100000.0,100000.0,BuySell,32,,,Trades,32,,
33,spx-1950-2018,33,2009-02-19 23:59:59.999989,787.91,797.58,777.03,778.94,5746940000.0,0.0,MomentumStrategy2,33,733457.9999999999,MACD,33,19.978700302604125,,CrossOver,33,,CrossDown,33,,Broker,33,100000.0,100000.0,BuySell,33,,,Trades,33,,
34,spx-1950-2018,34,2009-02-20 23:59:59.999989,775.87,778.69,754.25,770.05,8210590000.0,0.0,MomentumStrategy2,34,733458.9999999999,MACD,34,22.41724257356441,14.357552009888726,CrossOver,34,,CrossDown,34,,Broker,34,100000.0,100000.0,BuySell,34,,,Trades,34,,
35,spx-1950-2018,35,2009-02-23 23:59:59.999989,773.25,777.85,742.37,743.33,6509300000.0,0.0,MomentumStrategy2,35,733461.9999999999,MACD,35,26.203824209518302,16.726806449814642,CrossOver,35,0.0,CrossDown,35,0.0,Broker,35,100000.0,100000.0,BuySell,35,,,Trades,35,,
36,spx-1950-2018,36,2009-02-24 23:59:59.999989,744.69,775.49,744.69,773.14,7234490000.0,0.0,MomentumStrategy2,36,733462.9999999999,MACD,36,26.493894446125864,18.680224049076887,CrossOver,36,0.0,CrossDown,36,0.0,Broker,36,100000.0,100000.0,BuySell,36,,,Trades,36,,
37,spx-1950-2018,37,2009-02-25 23:59:59.999989,770.64,780.12,752.89,764.9,7483640000.0,0.0,MomentumStrategy2,37,733463.9999999999,MACD,37,27.076554666304105,20.35949017252233,CrossOver,37,0.0,CrossDown,37,0.0,Broker,37,100000.0,100000.0,BuySell,37,,,Trades,37,,
38,spx-1950-2018,38,2009-02-26 23:59:59.999989,765.76,779.42,751.75,752.83,7599970000.0,0.0,MomentumStrategy2,38,733464.9999999999,MACD,38,28.18733911611548,21.925059961240965,CrossOver,38,0.0,CrossDown,38,0.0,Broker,38,100000.0,100000.0,BuySell,38,,,Trades,38,,
39,spx-1950-2018,39,2009-02-27 23:59:59.999989,749.93,751.27,734.52,735.09,8926480000.0,0.0,MomentumStrategy2,39,733465.9999999999,MACD,39,30.151545290570425,23.57035702710686,CrossOver,39,0.0,CrossDown,39,0.0,Broker,39,100000.0,100000.0,BuySell,39,,,Trades,39,,
40,spx-1950-2018,40,2009-03-02 23:59:59.999989,729.57,729.57,699.7,700.82,7868290000.0,0.0,MomentumStrategy2,40,733468.9999999999,MACD,40,34.080635082059985,25.672412638097484,CrossOver,40,0.0,CrossDown,40,0.0,Broker,40,100000.0,100000.0,BuySell,40,,,Trades,40,,
41,spx-1950-2018,41,2009-03-03 23:59:59.999989,704.44,711.67,692.3,696.33,7583230000.0,0.0,MomentumStrategy2,41,733469.9999999999,MACD,41,37.12877511719216,27.96368513391642,CrossOver,41,0.0,CrossDown,41,0.0,Broker,41,100000.0,100000.0,BuySell,41,,,Trades,41,,
42,spx-1950-2018,42,2009-03-04 23:59:59.999989,698.6,724.12,698.6,712.87,7673620000.0,0.0,MomentumStrategy2,42,733470.9999999999,MACD,42,37.77436887557553,29.925821882248243,CrossOver,42,0.0,CrossDown,42,0.0,Broker,42,100000.0,100000.0,BuySell,42,,,Trades,42,,
43,spx-1950-2018,43,2009-03-05 23:59:59.999989,708.27,708.27,677.93,682.55,7507250000.0,0.0,MomentumStrategy2,43,733471.9999999999,MACD,43,40.26838827173833,31.994335160146264,CrossOver,43,0.0,CrossDown,43,0.0,Broker,43,100000.0,100000.0,BuySell,43,,,Trades,43,,
44,spx-1950-2018,44,2009-03-06 23:59:59.999989,684.04,699.09,666.79,683.38,7331830000.0,0.0,MomentumStrategy2,44,733472.9999999999,MACD,44,41.69728223429615,33.93492457497624,CrossOver,44,0.0,CrossDown,44,0.0,Broker,44,100000.0,100000.0,BuySell,44,,,Trades,44,,
45,spx-1950-2018,45,2009-03-09 23:59:59.999989,680.76,695.27,672.88,676.53,7277320000.0,0.0,MomentumStrategy2,45,733475.9999999999,MACD,45,42.88804209402906,35.72554807878681,CrossOver,45,0.0,CrossDown,45,0.0,Broker,45,100000.0,100000.0,BuySell,45,,,Trades,45,,
