Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MomentumStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2004-01-02 23:59:59.999989,1111.92,1118.85,1105.08,1108.48,1153200000.0,0.0,MomentumStrategy,1,731582.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2004-01-05 23:59:59.999989,1108.48,1122.22,1108.48,1122.22,1578200000.0,0.0,MomentumStrategy,2,731585.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2004-01-06 23:59:59.999989,1122.22,1124.46,1118.44,1123.67,1494500000.0,0.0,MomentumStrategy,3,731586.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2004-01-07 23:59:59.999989,1123.67,1126.33,1116.45,1126.33,1704900000.0,0.0,MomentumStrategy,4,731587.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2004-01-08 23:59:59.999989,1126.33,1131.92,1124.91,1131.92,1868400000.0,0.0,MomentumStrategy,5,731588.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2004-01-09 23:59:59.999989,1131.92,1131.92,1120.9,1121.86,1720700000.0,0.0,MomentumStrategy,6,731589.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2004-01-12 23:59:59.999989,1121.86,1127.85,1120.9,1127.23,1510200000.0,0.0,MomentumStrategy,7,731592.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2004-01-13 23:59:59.999989,1127.23,1129.07,1115.19,1121.22,1595900000.0,0.0,MomentumStrategy,8,731593.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2004-01-14 23:59:59.999989,1121.22,1130.75,1121.22,1130.52,1514600000.0,0.0,MomentumStrategy,9,731594.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2004-01-15 23:59:59.999989,1130.52,1137.11,1124.54,1132.05,1695000000.0,0.0,MomentumStrategy,10,731595.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2004-01-16 23:59:59.999989,1132.05,1139.83,1132.05,1139.83,1721100000.0,0.0,MomentumStrategy,11,731596.9999999999,MACD,11,,,CrossOver,11,,CrossDown,11,,ATR,11,,SMA,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
12,spx-1950-2018,12,2004-01-20 23:59:59.999989,1139.83,1142.93,1135.4,1138.77,1698200000.0,0.0,MomentumStrategy,12,731600.9999999999,MACD,12,,,CrossOver,12,,CrossDown,12,,ATR,12,,SMA,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
