Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2015-01-02 23:59:59.999989,2058.9,2072.36,2046.04,2058.2,2708700000.0,0.0,MeanReversionStrategy,1,735600.9999999999,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2015-01-05 23:59:59.999989,2054.44,2054.44,2017.34,2020.58,3799120000.0,0.0,MeanReversionStrategy,2,735603.9999999999,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2015-01-06 23:59:59.999989,2022.15,2030.25,1992.44,2002.61,4460110000.0,0.0,MeanReversionStrategy,3,735604.9999999999,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2015-01-07 23:59:59.999989,2005.55,2029.61,2005.55,2025.9,3805480000.0,0.0,MeanReversionStrategy,4,735605.9999999999,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2015-01-08 23:59:59.999989,2030.61,2064.08,2030.61,2062.14,3934010000.0,0.0,MeanReversionStrategy,5,735606.9999999999,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2015-01-09 23:59:59.999989,2063.45,2064.43,2038.33,2044.81,3364140000.0,0.0,MeanReversionStrategy,6,735607.9999999999,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2015-01-12 23:59:59.999989,2046.13,2049.3,2022.58,2028.26,3456460000.0,0.0,MeanReversionStrategy,7,735610.9999999999,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2015-01-13 23:59:59.999989,2031.58,2056.93,2008.25,2023.03,4107300000.0,0.0,MeanReversionStrategy,8,735611.9999999999,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2015-01-14 23:59:59.999989,2018.4,2018.4,1988.44,2011.27,4378680000.0,0.0,MeanReversionStrategy,9,735612.9999999999,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2015-01-15 23:59:59.999989,2013.75,2021.35,1991.47,1992.67,4276720000.0,0.0,MeanReversionStrategy,10,735613.9999999999,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-1950-2018,11,2015-01-16 23:59:59.999989,1992.25,2020.46,1988.12,2019.42,4056410000.0,0.0,MeanReversionStrategy,11,735614.9999999999,SimpleMovingAverage,11,,StdDev,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
12,spx-1950-2018,12,2015-01-20 23:59:59.999989,2020.76,2028.94,2004.49,2022.55,3944340000.0,0.0,MeanReversionStrategy,12,735618.9999999999,SimpleMovingAverage,12,,StdDev,12,,Broker,12,100000.0,100000.0,BuySell,12,,,Trades,12,,
13,spx-1950-2018,13,2015-01-21 23:59:59.999989,2020.19,2038.29,2012.04,2032.12,3730070000.0,0.0,MeanReversionStrategy,13,735619.9999999999,SimpleMovingAverage,13,,StdDev,13,,Broker,13,100000.0,100000.0,BuySell,13,,,Trades,13,,
14,spx-1950-2018,14,2015-01-22 23:59:59.999989,2034.3,2064.62,2026.38,2063.15,4176050000.0,0.0,MeanReversionStrategy,14,735620.9999999999,SimpleMovingAverage,14,,StdDev,14,,Broker,14,100000.0,100000.0,BuySell,14,,,Trades,14,,
15,spx-1950-2018,15,2015-01-23 23:59:59.999989,2062.98,2062.98,2050.54,2051.82,3573560000.0,0.0,MeanReversionStrategy,15,735621.9999999999,SimpleMovingAverage,15,2030.5686666666666,StdDev,15,20.722583451140938,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
16,spx-1950-2018,16,2015-01-26 23:59:59.999989,2050.42,2057.62,2040.97,2057.09,3465760000.0,0.0,MeanReversionStrategy,16,735624.9999999999,SimpleMovingAverage,16,2030.4946666666665,StdDev,16,20.625534939884176,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,
17,spx-1950-2018,17,2015-01-27 23:59:59.999989,2047.86,2047.86,2019.91,2029.55,3329810000.0,0.0,MeanReversionStrategy,17,735625.9999999999,SimpleMovingAverage,17,2031.0926666666667,StdDev,17,20.458768443445265,Broker,17,109955.13079155506,100089.0092314872,BuySell,17,,2047.86,Trades,17,,
18,spx-1950-2018,18,2015-01-28 23:59:59.999989,2032.34,2042.49,2001.49,2002.16,4067530000.0,0.0,MeanReversionStrategy,18,735626.9999999999,SimpleMovingAverage,18,2031.0626666666665,StdDev,18,20.500799160603947,Broker,18,100075.44638299734,100075.44638299734,BuySell,18,2032.34,,Trades,18,75.44638299734082,
19,spx-1950-2018,19,2015-01-29 23:59:59.999989,2002.45,2024.64,1989.18,2021.25,4127140000.0,0.0,MeanReversionStrategy,19,735627.9999999999,SimpleMovingAverage,19,2030.7526666666668,StdDev,19,20.61138082602319,Broker,19,90073.99794730789,100169.34497252066,BuySell,19,2002.45,,Trades,19,,
20,spx-1950-2018,20,2015-01-30 23:59:59.999989,2019.35,2023.32,1993.38,1994.99,4568650000.0,0.0,MeanReversionStrategy,20,735628.9999999999,SimpleMovingAverage,20,2026.276,StdDev,20,20.60037339467734,Broker,20,90073.99794730789,100038.18662353756,BuySell,20,,,Trades,20,,
21,spx-1950-2018,21,2015-02-02 23:59:59.999989,1996.67,2021.66,1980.9,2020.85,4008330000.0,0.0,MeanReversionStrategy,21,735631.9999999999,SimpleMovingAverage,21,2024.6786666666667,StdDev,21,20.022139368420245,Broker,21,90073.99794730789,100167.34713019038,BuySell,21,,,Trades,21,,
22,spx-1950-2018,22,2015-02-03 23:59:59.999989,2022.71,2050.3,2022.71,2050.03,4615900000.0,0.0,MeanReversionStrategy,22,735632.9999999999,SimpleMovingAverage,22,2026.13,StdDev,22,20.994538337381215,Broker,22,90073.99794730789,100313.08972818454,BuySell,22,,,Trades,22,,
23,spx-1950-2018,23,2015-02-04 23:59:59.999989,2048.86,2054.74,2036.72,2041.51,4141920000.0,0.0,MeanReversionStrategy,23,735633.9999999999,SimpleMovingAverage,23,2027.362,StdDev,23,21.316232687787668,Broker,23,100307.24603936846,100307.24603936846,BuySell,23,,2048.86,Trades,23,231.7996563711196,
24,spx-1950-2018,24,2015-02-05 23:59:59.999989,2043.45,2063.55,2043.45,2062.52,3821990000.0,0.0,MeanReversionStrategy,24,735634.9999999999,SimpleMovingAverage,24,2030.7786666666666,StdDev,24,22.53553486287938,Broker,24,100307.24603936846,100307.24603936846,BuySell,24,,,Trades,24,,
25,spx-1950-2018,25,2015-02-06 23:59:59.999989,2062.28,2072.4,2049.97,2055.47,4232970000.0,0.0,MeanReversionStrategy,25,735635.9999999999,SimpleMovingAverage,25,2034.9653333333333,StdDev,25,20.836224503394565,Broker,25,110306.08241428847,100340.26390101344,BuySell,25,,2062.28,Trades,25,,
26,spx-1950-2018,26,2015-02-09 23:59:59.999989,2053.47,2056.16,2041.88,2046.74,3549540000.0,0.0,MeanReversionStrategy,26,735638.9999999999,SimpleMovingAverage,26,2036.7866666666666,StdDev,26,20.590370456991064,Broker,26,110306.08241428847,100382.59076329842,BuySell,26,,,Trades,26,,
27,spx-1950-2018,27,2015-02-10 23:59:59.999989,2049.38,2070.86,2048.62,2068.59,3669850000.0,0.0,MeanReversionStrategy,27,735639.9999999999,SimpleMovingAverage,27,2039.856,StdDev,27,21.64394843830661,Broker,27,110306.08241428847,100276.65239664016,BuySell,27,,,Trades,27,,
28,spx-1950-2018,28,2015-02-11 23:59:59.999989,2068.55,2073.48,2057.99,2068.53,3596860000.0,0.0,MeanReversionStrategy,28,735640.9999999999,SimpleMovingAverage,28,2042.2833333333333,StdDev,28,22.658156637789073,Broker,28,110306.08241428847,100276.94330291015,BuySell,28,,,Trades,28,,
29,spx-1950-2018,29,2015-02-12 23:59:59.999989,2069.98,2088.53,2069.98,2088.48,3788350000.0,0.0,MeanReversionStrategy,29,735641.9999999999,SimpleMovingAverage,29,2043.9720000000002,StdDev,29,24.975749891969798,Broker,29,110306.08241428847,100180.21696813521,BuySell,29,,,Trades,29,,
30,spx-1950-2018,30,2015-02-13 23:59:59.999989,2088.78,2097.03,2086.7,2096.99,3527450000.0,0.0,MeanReversionStrategy,30,735642.9999999999,SimpleMovingAverage,30,2046.9833333333333,StdDev,30,28.24903129115213,Broker,30,110306.08241428847,100138.95676217358,BuySell,30,,,Trades,30,,
31,spx-1950-2018,31,2015-02-17 23:59:59.999989,2096.47,2101.3,2089.8,2100.34,3361750000.0,0.0,MeanReversionStrategy,31,735646.9999999999,SimpleMovingAverage,31,2049.866666666667,StdDev,31,31.187819773472448,Broker,31,110306.08241428847,100122.71449543192,BuySell,31,,,Trades,31,,
32,spx-1950-2018,32,2015-02-18 23:59:59.999989,2099.16,2100.23,2092.15,2099.68,3370020000.0,0.0,MeanReversionStrategy,32,735647.9999999999,SimpleMovingAverage,32,2054.542,StdDev,32,32.99588018729907,Broker,32,110306.08241428847,100125.91446440193,BuySell,32,,,Trades,32,,
33,spx-1950-2018,33,2015-02-19 23:59:59.999989,2099.25,2102.13,2090.79,2097.45,3247100000.0,0.0,MeanReversionStrategy,33,735648.9999999999,SimpleMovingAverage,33,2060.8946666666666,StdDev,33,31.43543496685249,Broker,33,110306.08241428847,100136.72648077024,BuySell,33,,,Trades,33,,
34,spx-1950-2018,34,2015-02-20 23:59:59.999989,2097.65,2110.61,2085.44,2110.3,3281600000.0,0.0,MeanReversionStrategy,34,735649.9999999999,SimpleMovingAverage,34,2066.8313333333335,StdDev,34,31.794470979840955,Broker,34,110306.08241428847,100074.42405461195,BuySell,34,,,Trades,34,,
35,spx-1950-2018,35,2015-02-23 23:59:59.999989,2109.83,2110.05,2103.0,2109.66,3093680000.0,0.0,MeanReversionStrategy,35,735652.9999999999,SimpleMovingAverage,35,2074.476,StdDev,35,27.030636149858484,Broker,35,110306.08241428847,100077.52705482529,BuySell,35,,,Trades,35,,
