Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2013-01-02 23:59:59.999989,1426.19,1462.43,1426.19,1462.42,4202600000.0,0.0,RegimeSwitchingStrategy,1,734870.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2013-01-03 23:59:59.999989,1462.42,1465.47,1455.53,1459.37,3829730000.0,0.0,RegimeSwitchingStrategy,2,734871.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2013-01-04 23:59:59.999989,1459.37,1467.94,1458.99,1466.47,3424290000.0,0.0,RegimeSwitchingStrategy,3,734872.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2013-01-07 23:59:59.999989,1466.47,1466.47,1456.62,1461.89,3304970000.0,0.0,RegimeSwitchingStrategy,4,734875.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2013-01-08 23:59:59.999989,1461.89,1461.89,1451.64,1457.15,3601600000.0,0.0,RegimeSwitchingStrategy,5,734876.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2013-01-09 23:59:59.999989,1457.15,1464.73,1457.15,1461.02,3674390000.0,0.0,RegimeSwitchingStrategy,6,734877.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2013-01-10 23:59:59.999989,1461.02,1472.3,1461.02,1472.12,4081840000.0,0.0,RegimeSwitchingStrategy,7,734878.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2013-01-11 23:59:59.999989,1472.12,1472.75,1467.58,1472.05,3340650000.0,0.0,RegimeSwitchingStrategy,8,734879.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2013-01-14 23:59:59.999989,1472.05,1472.05,1465.69,1470.68,3003010000.0,0.0,RegimeSwitchingStrategy,9,734882.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2013-01-15 23:59:59.999989,1470.67,1473.31,1463.76,1472.34,3135350000.0,0.0,RegimeSwitchingStrategy,10,734883.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
