Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy_natural_rt,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-1950-2018,1,2012-01-03 23:59:59.999989,1258.86,1284.62,1258.86,1277.06,3943710000.0,0.0,RegimeSwitchingStrategy_natural_rt,1,734505.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,SimpleMovingAverage,1,,StdDev,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-1950-2018,2,2012-01-04 23:59:59.999989,1277.03,1278.73,1268.1,1277.3,3592580000.0,0.0,RegimeSwitchingStrategy_natural_rt,2,734506.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,SimpleMovingAverage,2,,StdDev,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-1950-2018,3,2012-01-05 23:59:59.999989,1277.3,1283.05,1265.26,1281.06,4315950000.0,0.0,RegimeSwitchingStrategy_natural_rt,3,734507.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,SimpleMovingAverage,3,,StdDev,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-1950-2018,4,2012-01-06 23:59:59.999989,1280.93,1281.84,1273.34,1277.81,3656830000.0,0.0,RegimeSwitchingStrategy_natural_rt,4,734508.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,SimpleMovingAverage,4,,StdDev,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-1950-2018,5,2012-01-09 23:59:59.999989,1277.83,1281.99,1274.55,1280.7,3371600000.0,0.0,RegimeSwitchingStrategy_natural_rt,5,734511.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,SimpleMovingAverage,5,,StdDev,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-1950-2018,6,2012-01-10 23:59:59.999989,1280.77,1296.46,1280.77,1292.08,4221960000.0,0.0,RegimeSwitchingStrategy_natural_rt,6,734512.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,SimpleMovingAverage,6,,StdDev,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-1950-2018,7,2012-01-11 23:59:59.999989,1292.02,1293.8,1285.41,1292.48,3968120000.0,0.0,RegimeSwitchingStrategy_natural_rt,7,734513.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,SimpleMovingAverage,7,,StdDev,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-1950-2018,8,2012-01-12 23:59:59.999989,1292.48,1296.82,1285.77,1295.5,4019890000.0,0.0,RegimeSwitchingStrategy_natural_rt,8,734514.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,SimpleMovingAverage,8,,StdDev,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-1950-2018,9,2012-01-13 23:59:59.999989,1294.82,1294.82,1277.58,1289.09,3692370000.0,0.0,RegimeSwitchingStrategy_natural_rt,9,734515.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,SimpleMovingAverage,9,,StdDev,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-1950-2018,10,2012-01-17 23:59:59.999989,1290.22,1303.0,1290.22,1293.67,4010490000.0,0.0,RegimeSwitchingStrategy_natural_rt,10,734519.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,SimpleMovingAverage,10,,StdDev,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
