Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,TheStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-2013-2018,1,2013-02-11 23:59:59.999989,1517.93,1518.31,1513.61,1517.01,2684100000.0,0.0,TheStrategy,1,734910.9999999999,MACD,1,,,CrossOver,1,,CrossDown,1,,ATR,1,,SMA,1,,Broker,1,10000.0,10000.0,BuySell,1,,,Trades,1,,
2,spx-2013-2018,2,2013-02-12 23:59:59.999989,1517.01,1522.29,1515.61,1519.43,3414370000.0,0.0,TheStrategy,2,734911.9999999999,MACD,2,,,CrossOver,2,,CrossDown,2,,ATR,2,,SMA,2,,Broker,2,10000.0,10000.0,BuySell,2,,,Trades,2,,
3,spx-2013-2018,3,2013-02-13 23:59:59.999989,1519.43,1524.69,1515.93,1520.33,3385880000.0,0.0,TheStrategy,3,734912.9999999999,MACD,3,,,CrossOver,3,,CrossDown,3,,ATR,3,,SMA,3,,Broker,3,10000.0,10000.0,BuySell,3,,,Trades,3,,
4,spx-2013-2018,4,2013-02-14 23:59:59.999989,1520.33,1523.14,1514.02,1521.38,3759740000.0,0.0,TheStrategy,4,734913.9999999999,MACD,4,,,CrossOver,4,,CrossDown,4,,ATR,4,,SMA,4,,Broker,4,10000.0,10000.0,BuySell,4,,,Trades,4,,
5,spx-2013-2018,5,2013-02-15 23:59:59.999989,1521.38,1524.24,1514.14,1519.79,3838510000.0,0.0,TheStrategy,5,734914.9999999999,MACD,5,,,CrossOver,5,,CrossDown,5,,ATR,5,,SMA,5,,Broker,5,10000.0,10000.0,BuySell,5,,,Trades,5,,
6,spx-2013-2018,6,2013-02-19 23:59:59.999989,1519.79,1530.94,1519.79,1530.94,3748910000.0,0.0,TheStrategy,6,734918.9999999999,MACD,6,,,CrossOver,6,,CrossDown,6,,ATR,6,,SMA,6,,Broker,6,10000.0,10000.0,BuySell,6,,,Trades,6,,
7,spx-2013-2018,7,2013-02-20 23:59:59.999989,1530.94,1530.94,1511.41,1511.95,4240570000.0,0.0,TheStrategy,7,734919.9999999999,MACD,7,,,CrossOver,7,,CrossDown,7,,ATR,7,,SMA,7,,Broker,7,10000.0,10000.0,BuySell,7,,,Trades,7,,
8,spx-2013-2018,8,2013-02-21 23:59:59.999989,1511.95,1511.95,1497.29,1502.42,4274600000.0,0.0,TheStrategy,8,734920.9999999999,MACD,8,,,CrossOver,8,,CrossDown,8,,ATR,8,,SMA,8,,Broker,8,10000.0,10000.0,BuySell,8,,,Trades,8,,
9,spx-2013-2018,9,2013-02-22 23:59:59.999989,1502.42,1515.64,1502.42,1515.6,3419320000.0,0.0,TheStrategy,9,734921.9999999999,MACD,9,,,CrossOver,9,,CrossDown,9,,ATR,9,,SMA,9,,Broker,9,10000.0,10000.0,BuySell,9,,,Trades,9,,
10,spx-2013-2018,10,2013-02-25 23:59:59.999989,1515.6,1525.84,1487.85,1487.85,4011050000.0,0.0,TheStrategy,10,734924.9999999999,MACD,10,,,CrossOver,10,,CrossDown,10,,ATR,10,,SMA,10,,Broker,10,10000.0,10000.0,BuySell,10,,,Trades,10,,
11,spx-2013-2018,11,2013-02-26 23:59:59.999989,1487.85,1498.99,1485.01,1496.94,3975280000.0,0.0,TheStrategy,11,734925.9999999999,MACD,11,,,CrossOver,11,,CrossDown,11,,ATR,11,,SMA,11,,Broker,11,10000.0,10000.0,BuySell,11,,,Trades,11,,
12,spx-2013-2018,12,2013-02-27 23:59:59.999989,1496.94,1520.08,1494.88,1515.99,3551850000.0,0.0,TheStrategy,12,734926.9999999999,MACD,12,,,CrossOver,12,,CrossDown,12,,ATR,12,,SMA,12,,Broker,12,10000.0,10000.0,BuySell,12,,,Trades,12,,
13,spx-2013-2018,13,2013-02-28 23:59:59.999989,1515.99,1525.34,1514.46,1514.68,3912320000.0,0.0,TheStrategy,13,734927.9999999999,MACD,13,,,CrossOver,13,,CrossDown,13,,ATR,13,,SMA,13,,Broker,13,10000.0,10000.0,BuySell,13,,,Trades,13,,
14,spx-2013-2018,14,2013-03-01 23:59:59.999989,1514.68,1519.99,1501.48,1518.2,3695610000.0,0.0,TheStrategy,14,734928.9999999999,MACD,14,,,CrossOver,14,,CrossDown,14,,ATR,14,,SMA,14,,Broker,14,10000.0,10000.0,BuySell,14,,,Trades,14,,
15,spx-2013-2018,15,2013-03-04 23:59:59.999989,1518.2,1525.27,1512.29,1525.2,3414430000.0,0.0,TheStrategy,15,734931.9999999999,MACD,15,,,CrossOver,15,,CrossDown,15,,ATR,15,15.197142857142856,SMA,15,,Broker,15,10000.0,10000.0,BuySell,15,,,Trades,15,,
16,spx-2013-2018,16,2013-03-05 23:59:59.999989,1525.2,1543.47,1525.2,1539.79,3610690000.0,0.0,TheStrategy,16,734932.9999999999,MACD,16,,,CrossOver,16,,CrossDown,16,,ATR,16,15.416632653061221,SMA,16,,Broker,16,10000.0,10000.0,BuySell,16,,,Trades,16,,
17,spx-2013-2018,17,2013-03-06 23:59:59.999989,1539.79,1545.25,1538.11,1541.46,3676890000.0,0.0,TheStrategy,17,734933.9999999999,MACD,17,,,CrossOver,17,,CrossDown,17,,ATR,17,14.825444606413999,SMA,17,,Broker,17,10000.0,10000.0,BuySell,17,,,Trades,17,,
18,spx-2013-2018,18,2013-03-07 23:59:59.999989,1541.46,1545.78,1541.46,1544.26,3634710000.0,0.0,TheStrategy,18,734934.9999999999,MACD,18,,,CrossOver,18,,CrossDown,18,,ATR,18,14.075055705955853,SMA,18,,Broker,18,10000.0,10000.0,BuySell,18,,,Trades,18,,
19,spx-2013-2018,19,2013-03-08 23:59:59.999989,1544.26,1552.48,1542.94,1551.18,3652260000.0,0.0,TheStrategy,19,734935.9999999999,MACD,19,,,CrossOver,19,,CrossDown,19,,ATR,19,13.751123155530433,SMA,19,,Broker,19,10000.0,10000.0,BuySell,19,,,Trades,19,,
20,spx-2013-2018,20,2013-03-11 23:59:59.999989,1551.15,1556.27,1547.36,1556.22,3091080000.0,0.0,TheStrategy,20,734938.9999999999,MACD,20,,,CrossOver,20,,CrossDown,20,,ATR,20,13.405328644421123,SMA,20,,Broker,20,10000.0,10000.0,BuySell,20,,,Trades,20,,
21,spx-2013-2018,21,2013-03-12 23:59:59.999989,1556.22,1556.77,1548.24,1552.48,3274910000.0,0.0,TheStrategy,21,734939.9999999999,MACD,21,,,CrossOver,21,,CrossDown,21,,ATR,21,13.057090884105328,SMA,21,,Broker,21,10000.0,10000.0,BuySell,21,,,Trades,21,,
22,spx-2013-2018,22,2013-03-13 23:59:59.999989,1552.48,1556.39,1548.25,1554.52,3073830000.0,0.0,TheStrategy,22,734940.9999999999,MACD,22,,,CrossOver,22,,CrossDown,22,,ATR,22,12.70587010666924,SMA,22,,Broker,22,10000.0,10000.0,BuySell,22,,,Trades,22,,
23,spx-2013-2018,23,2013-03-14 23:59:59.999989,1554.52,1563.32,1554.52,1563.23,3459260000.0,0.0,TheStrategy,23,734941.9999999999,MACD,23,,,CrossOver,23,,CrossDown,23,,ATR,23,12.426879384764291,SMA,23,,Broker,23,10000.0,10000.0,BuySell,23,,,Trades,23,,
24,spx-2013-2018,24,2013-03-15 23:59:59.999989,1563.21,1563.62,1555.74,1560.7,5175850000.0,0.0,TheStrategy,24,734942.9999999999,MACD,24,,,CrossOver,24,,CrossDown,24,,ATR,24,12.102102285852549,SMA,24,,Broker,24,10000.0,10000.0,BuySell,24,,,Trades,24,,
25,spx-2013-2018,25,2013-03-18 23:59:59.999989,1560.7,1560.7,1545.13,1552.1,3164560000.0,0.0,TheStrategy,25,734945.9999999999,MACD,25,,,CrossOver,25,,CrossDown,25,,ATR,25,12.349809265434507,SMA,25,,Broker,25,10000.0,10000.0,BuySell,25,,,Trades,25,,
26,spx-2013-2018,26,2013-03-19 23:59:59.999989,1552.1,1557.25,1538.57,1548.34,3796210000.0,0.0,TheStrategy,26,734946.9999999999,MACD,26,17.037789878193507,,CrossOver,26,,CrossDown,26,,ATR,26,12.801965746474904,SMA,26,,Broker,26,10000.0,10000.0,BuySell,26,,,Trades,26,,
27,spx-2013-2018,27,2013-03-20 23:59:59.999989,1548.34,1561.56,1548.34,1558.71,3349090000.0,0.0,TheStrategy,27,734947.9999999999,MACD,27,16.700742213391322,,CrossOver,27,,CrossDown,27,,ATR,27,12.831825336012413,SMA,27,,Broker,27,10000.0,10000.0,BuySell,27,,,Trades,27,,
28,spx-2013-2018,28,2013-03-21 23:59:59.999989,1558.71,1558.71,1543.55,1545.8,3243270000.0,0.0,TheStrategy,28,734948.9999999999,MACD,28,15.21649413169871,,CrossOver,28,,CrossDown,28,,ATR,28,12.998123526297247,SMA,28,,Broker,28,10000.0,10000.0,BuySell,28,,,Trades,28,,
29,spx-2013-2018,29,2013-03-22 23:59:59.999989,1545.9,1557.74,1545.9,1556.89,2948380000.0,0.0,TheStrategy,29,734949.9999999999,MACD,29,14.76488672716232,,CrossOver,29,,CrossDown,29,,ATR,29,12.922543274418876,SMA,29,,Broker,29,10000.0,10000.0,BuySell,29,,,Trades,29,,
30,spx-2013-2018,30,2013-03-25 23:59:59.999989,1556.89,1564.91,1546.22,1551.69,3178170000.0,0.0,TheStrategy,30,734952.9999999999,MACD,30,13.82798762985135,,CrossOver,30,,CrossDown,30,,ATR,30,13.334504469103248,SMA,30,1533.1693333333335,Broker,30,10000.0,10000.0,BuySell,30,,,Trades,30,,
31,spx-2013-2018,31,2013-03-26 23:59:59.999989,1551.69,1563.95,1551.69,1563.77,2869260000.0,0.0,TheStrategy,31,734953.9999999999,MACD,31,13.900012694580937,,CrossOver,31,,CrossDown,31,,ATR,31,13.257754149881587,SMA,31,1534.728,Broker,31,10000.0,10000.0,BuySell,31,,,Trades,31,,
32,spx-2013-2018,32,2013-03-27 23:59:59.999989,1563.75,1564.07,1551.9,1562.85,2914210000.0,0.0,TheStrategy,32,734954.9999999999,MACD,32,13.724647572137428,,CrossOver,32,,CrossDown,32,,ATR,32,13.180057424890034,SMA,32,1536.1753333333334,Broker,32,10000.0,10000.0,BuySell,32,,,Trades,32,,
33,spx-2013-2018,33,2013-03-28 23:59:59.999989,1562.86,1570.28,1561.08,1569.19,3304440000.0,0.0,TheStrategy,33,734955.9999999999,MACD,33,13.936601991053067,,CrossOver,33,,CrossDown,33,,ATR,33,12.895767608826464,SMA,33,1537.804,Broker,33,10000.0,10000.0,BuySell,33,,,Trades,33,,
34,spx-2013-2018,34,2013-04-01 23:59:59.999989,1569.18,1570.57,1558.47,1562.17,2753110000.0,0.0,TheStrategy,34,734959.9999999999,MACD,34,13.38384147036254,14.72144492315902,CrossOver,34,,CrossDown,34,,ATR,34,12.838927065338854,SMA,34,1539.1636666666668,Broker,34,10000.0,10000.0,BuySell,34,,,Trades,34,,
35,spx-2013-2018,35,2013-04-02 23:59:59.999989,1562.17,1573.66,1562.17,1570.25,3312160000.0,0.0,TheStrategy,35,734960.9999999999,MACD,35,13.442802982979856,14.465716535123187,CrossOver,35,0.0,CrossDown,35,0.0,ATR,35,12.742575132100367,SMA,35,1540.8456666666668,Broker,35,10000.0,10000.0,BuySell,35,,,Trades,35,,
36,spx-2013-2018,36,2013-04-03 23:59:59.999989,1570.25,1571.47,1549.8,1553.69,4060610000.0,0.0,TheStrategy,36,734961.9999999999,MACD,36,12.014777923258634,13.975528812750277,CrossOver,36,0.0,CrossDown,36,0.0,ATR,36,13.380248336950345,SMA,36,1541.604,Broker,36,10000.0,10000.0,BuySell,36,,,Trades,36,,
37,spx-2013-2018,37,2013-04-04 23:59:59.999989,1553.69,1562.6,1552.52,1559.98,3350670000.0,0.0,TheStrategy,37,734962.9999999999,MACD,37,11.26080070640296,13.432583191480814,CrossOver,37,0.0,CrossDown,37,0.0,ATR,37,13.144516312882459,SMA,37,1543.2050000000002,Broker,37,10000.0,10000.0,BuySell,37,,,Trades,37,,
38,spx-2013-2018,38,2013-04-05 23:59:59.999989,1559.98,1559.98,1539.5,1553.28,3515410000.0,0.0,TheStrategy,38,734963.9999999999,MACD,38,10.007276668052555,12.747521886795164,CrossOver,38,0.0,CrossDown,38,0.0,ATR,38,13.668479433390857,SMA,38,1544.9003333333335,Broker,38,10000.0,10000.0,BuySell,38,,,Trades,38,,
39,spx-2013-2018,39,2013-04-08 23:59:59.999989,1553.26,1563.07,1548.63,1563.07,2887120000.0,0.0,TheStrategy,39,734966.9999999999,MACD,39,9.692096562016786,12.13643682183949,CrossOver,39,0.0,CrossDown,39,0.0,ATR,39,13.723588045291498,SMA,39,1546.4826666666668,Broker,39,10000.0,10000.0,BuySell,39,,,Trades,39,,
40,spx-2013-2018,40,2013-04-09 23:59:59.999989,1563.11,1573.89,1560.92,1568.61,3252780000.0,0.0,TheStrategy,40,734967.9999999999,MACD,40,9.77664666056944,11.66447878958548,CrossOver,40,0.0,CrossDown,40,0.0,ATR,40,13.669760327770678,SMA,40,1549.1746666666666,Broker,40,10000.0,10000.0,BuySell,40,,,Trades,40,,
41,spx-2013-2018,41,2013-04-10 23:59:59.999989,1568.61,1589.07,1568.61,1587.73,3453350000.0,0.0,TheStrategy,41,734968.9999999999,MACD,41,11.256717003759832,11.582926432420352,CrossOver,41,0.0,CrossDown,41,0.0,ATR,41,14.154777447215633,SMA,41,1552.201,Broker,41,10000.0,10000.0,BuySell,41,,,Trades,41,,
42,spx-2013-2018,42,2013-04-11 23:59:59.999989,1587.73,1597.35,1586.17,1593.37,3393950000.0,0.0,TheStrategy,42,734969.9999999999,MACD,42,12.737949130148081,11.813930971965899,CrossOver,42,1.0,CrossDown,42,0.0,ATR,42,13.942293343843076,SMA,42,1554.7803333333334,Broker,42,10000.0,10000.0,BuySell,42,,,Trades,42,,
43,spx-2013-2018,43,2013-04-12 23:59:59.999989,1593.3,1593.3,1579.97,1588.85,3206290000.0,0.0,TheStrategy,43,734970.9999999999,MACD,43,13.392727016861045,12.12969018094493,CrossOver,43,0.0,CrossDown,43,0.0,ATR,43,13.903558104997131,SMA,43,1557.2526666666668,Broker,43,10000.0,10000.0,BuySell,43,,,Trades,43,,
44,spx-2013-2018,44,2013-04-15 23:59:59.999989,1588.84,1588.84,1552.28,1552.36,4660130000.0,0.0,TheStrategy,44,734973.9999999999,MACD,44,10.842222774064794,11.872196699568905,CrossOver,44,-1.0,CrossDown,44,1.0,ATR,44,15.522589668925905,SMA,44,1558.3913333333333,Broker,44,10000.0,10000.0,BuySell,44,,,Trades,44,,
45,spx-2013-2018,45,2013-04-16 23:59:59.999989,1552.36,1575.35,1552.36,1574.57,3654700000.0,0.0,TheStrategy,45,734974.9999999999,MACD,45,10.492144261628482,11.59618621198082,CrossOver,45,0.0,CrossDown,45,0.0,ATR,45,16.055976121145484,SMA,45,1560.037,Broker,45,11552.36,9977.79,BuySell,45,,1552.36,Trades,45,,
46,spx-2013-2018,46,2013-04-17 23:59:59.999989,1574.57,1574.57,1543.69,1552.01,4250310000.0,0.0,TheStrategy,46,734975.9999999999,MACD,46,8.298639509587247,10.936676871502106,CrossOver,46,0.0,CrossDown,46,0.0,ATR,46,17.114834969635083,SMA,46,1560.4443333333334,Broker,46,9977.79,9977.79,BuySell,46,1574.57,,Trades,46,,-22.210000000000036
47,spx-2013-2018,47,2013-04-18 23:59:59.999989,1552.03,1554.38,1536.03,1541.61,3890800000.0,0.0,TheStrategy,47,734976.9999999999,MACD,47,5.655880635371432,9.880517624275972,CrossOver,47,0.0,CrossDown,47,0.0,ATR,47,17.203061043232587,SMA,47,1560.4493333333332,Broker,47,9977.79,9977.79,BuySell,47,,,Trades,47,,
48,spx-2013-2018,48,2013-04-19 23:59:59.999989,1541.61,1555.89,1539.4,1555.25,3569870000.0,0.0,TheStrategy,48,734977.9999999999,MACD,48,4.608979743773716,8.826210048175522,CrossOver,48,0.0,CrossDown,48,0.0,ATR,48,17.152128111573116,SMA,48,1560.8156666666666,Broker,48,9977.79,9977.79,BuySell,48,,,Trades,48,,
