Id,XLB,len,datetime,open,high,low,close,volume,openinterest,XLE,len,datetime,open,high,low,close,volume,openinterest,XLF,len,datetime,open,high,low,close,volume,openinterest,XLI,len,datetime,open,high,low,close,volume,openinterest,XLK,len,datetime,open,high,low,close,volume,openinterest,XLP,len,datetime,open,high,low,close,volume,openinterest,XLU,len,datetime,open,high,low,close,volume,openinterest,XLV,len,datetime,open,high,low,close,volume,openinterest,XLY,len,datetime,open,high,low,close,volume,openinterest,BackTradingStrategy,len,datetime,SimpleMovingAverage,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1,XLB,1,2013-02-11 23:59:59.999989,39.42,39.42,39.19,35.51,3241977.67,0.0,XLE,1,2013-02-11 23:59:59.999989,78.59,78.59,78.08,68.89,6132767.97,0.0,XLF,1,2013-02-11 23:59:59.999989,14.3,14.39,14.27,10.11,24636272.95,0.0,XLI,1,2013-02-11 23:59:59.999989,40.53,40.64,40.49,36.69,6979529.71,0.0,XLK,1,2013-02-11 23:59:59.999989,29.97,30.02,29.87,27.44,5888133.44,0.0,XLP,1,2013-02-11 23:59:59.999989,37.53,37.53,37.41,32.97,2602119.36,0.0,XLU,1,2013-02-11 23:59:59.999989,36.71,36.81,36.64,30.83,4042256.59,0.0,XLV,1,2013-02-11 23:59:59.999989,43.39,43.39,43.21,40.1,2267250.52,0.0,XLY,1,2013-02-11 23:59:59.999989,50.76,50.76,50.46,47.05,2221571.26,0.0,BackTradingStrategy,1,734910.9999999999,SimpleMovingAverage,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,DataTrades,1,,,,,,,,,
2,XLB,2,2013-02-12 23:59:59.999989,39.23,39.41,39.15,35.53,6348257.5,0.0,XLE,2,2013-02-12 23:59:59.999989,78.37,78.54,77.95,69.07,6345710.01,0.0,XLF,2,2013-02-12 23:59:59.999989,14.38,14.49,14.33,10.19,48043509.79,0.0,XLI,2,2013-02-12 23:59:59.999989,40.66,40.83,40.65,36.86,5226576.27,0.0,XLK,2,2013-02-12 23:59:59.999989,29.96,30.02,29.84,27.35,4912175.62,0.0,XLP,2,2013-02-12 23:59:59.999989,37.52,37.52,37.38,32.94,2910658.29,0.0,XLU,2,2013-02-12 23:59:59.999989,36.76,36.96,36.72,30.96,4363088.06,0.0,XLV,2,2013-02-12 23:59:59.999989,43.26,43.38,43.22,40.06,4754474.33,0.0,XLY,2,2013-02-12 23:59:59.999989,50.56,50.85,50.55,47.24,4249433.09,0.0,BackTradingStrategy,2,734911.9999999999,SimpleMovingAverage,2,,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,DataTrades,2,,,,,,,,,
3,XLB,3,2013-02-13 23:59:59.999989,39.48,39.6,39.36,35.65,5551845.81,0.0,XLE,3,2013-02-13 23:59:59.999989,78.48,78.75,78.43,69.32,5015548.51,0.0,XLF,3,2013-02-13 23:59:59.999989,14.51,14.52,14.39,10.17,34950476.48,0.0,XLI,3,2013-02-13 23:59:59.999989,40.97,41.12,40.86,37.06,5798142.66,0.0,XLK,3,2013-02-13 23:59:59.999989,29.93,30.0,29.79,27.34,8231912.49,0.0,XLP,3,2013-02-13 23:59:59.999989,37.51,37.51,37.37,32.97,2785201.16,0.0,XLU,3,2013-02-13 23:59:59.999989,36.98,37.09,36.84,30.96,3974367.74,0.0,XLV,3,2013-02-13 23:59:59.999989,43.31,43.33,43.09,40.03,4485876.01,0.0,XLY,3,2013-02-13 23:59:59.999989,51.06,51.19,50.7,47.34,5429102.28,0.0,BackTradingStrategy,3,734912.9999999999,SimpleMovingAverage,3,,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,DataTrades,3,,,,,,,,,
4,XLB,4,2013-02-14 23:59:59.999989,39.38,39.43,39.23,35.54,6090218.05,0.0,XLE,4,2013-02-14 23:59:59.999989,78.52,79.51,78.29,69.92,6440860.93,0.0,XLF,4,2013-02-14 23:59:59.999989,14.39,14.5,14.37,10.2,27184895.0,0.0,XLI,4,2013-02-14 23:59:59.999989,40.8,41.06,40.73,37.11,8369699.21,0.0,XLK,4,2013-02-14 23:59:59.999989,29.71,29.84,29.66,27.26,5827656.45,0.0,XLP,4,2013-02-14 23:59:59.999989,37.59,37.69,37.52,33.04,7006641.97,0.0,XLU,4,2013-02-14 23:59:59.999989,36.78,36.9,36.53,30.71,8593920.18,0.0,XLV,4,2013-02-14 23:59:59.999989,43.17,43.39,43.09,40.11,4790782.41,0.0,XLY,4,2013-02-14 23:59:59.999989,50.68,50.98,50.66,47.36,4363461.96,0.0,BackTradingStrategy,4,734913.9999999999,SimpleMovingAverage,4,,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,DataTrades,4,,,,,,,,,
5,XLB,5,2013-02-15 23:59:59.999989,39.45,39.49,39.19,35.53,12061987.2,0.0,XLE,5,2013-02-15 23:59:59.999989,79.26,79.29,78.03,69.12,12631865.65,0.0,XLF,5,2013-02-15 23:59:59.999989,14.52,14.53,14.38,10.16,55357937.58,0.0,XLI,5,2013-02-15 23:59:59.999989,41.1,41.17,40.93,37.13,7242209.69,0.0,XLK,5,2013-02-15 23:59:59.999989,29.82,29.93,29.69,27.25,4585363.04,0.0,XLP,5,2013-02-15 23:59:59.999989,37.5,37.69,37.43,33.09,5006376.64,0.0,XLU,5,2013-02-15 23:59:59.999989,36.71,36.78,36.64,30.78,4393848.35,0.0,XLV,5,2013-02-15 23:59:59.999989,43.33,43.45,43.24,40.21,7622645.34,0.0,XLY,5,2013-02-15 23:59:59.999989,50.92,51.17,50.67,47.42,11439334.77,0.0,BackTradingStrategy,5,734914.9999999999,SimpleMovingAverage,5,,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,DataTrades,5,,,,,,,,,
6,XLB,6,2013-02-19 23:59:59.999989,39.33,39.48,39.16,35.37,5418855.4,0.0,XLE,6,2013-02-19 23:59:59.999989,78.74,79.43,78.72,69.92,6781198.32,0.0,XLF,6,2013-02-19 23:59:59.999989,14.48,14.57,14.46,10.26,38542040.37,0.0,XLI,6,2013-02-19 23:59:59.999989,41.22,41.39,41.1,37.4,7708524.39,0.0,XLK,6,2013-02-19 23:59:59.999989,29.83,29.98,29.83,27.43,4225702.72,0.0,XLP,6,2013-02-19 23:59:59.999989,37.71,38.0,37.7,33.42,7162098.25,0.0,XLU,6,2013-02-19 23:59:59.999989,36.68,37.1,36.68,31.04,7934489.54,0.0,XLV,6,2013-02-19 23:59:59.999989,43.3,43.69,43.3,40.46,6710428.87,0.0,XLY,6,2013-02-19 23:59:59.999989,50.97,51.17,50.89,47.59,6572001.2,0.0,BackTradingStrategy,6,734918.9999999999,SimpleMovingAverage,6,,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,DataTrades,6,,,,,,,,,
7,XLB,7,2013-02-20 23:59:59.999989,39.1,39.12,38.07,34.38,10415988.73,0.0,XLE,7,2013-02-20 23:59:59.999989,79.33,79.34,77.63,68.46,11248576.81,0.0,XLF,7,2013-02-20 23:59:59.999989,14.56,14.57,14.34,10.1,47814093.14,0.0,XLI,7,2013-02-20 23:59:59.999989,41.41,41.42,40.79,36.91,9602265.4,0.0,XLK,7,2013-02-20 23:59:59.999989,29.97,29.99,29.56,27.05,6095458.11,0.0,XLP,7,2013-02-20 23:59:59.999989,38.03,38.13,37.91,33.36,9197465.08,0.0,XLU,7,2013-02-20 23:59:59.999989,37.06,37.28,36.96,30.99,6849794.82,0.0,XLV,7,2013-02-20 23:59:59.999989,43.65,43.74,43.38,40.2,6242234.78,0.0,XLY,7,2013-02-20 23:59:59.999989,51.12,51.23,50.34,46.87,6504329.0,0.0,BackTradingStrategy,7,734919.9999999999,SimpleMovingAverage,7,,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,DataTrades,7,,,,,,,,,
8,XLB,8,2013-02-21 23:59:59.999989,37.98,38.01,37.5,34.06,12202739.48,0.0,XLE,8,2013-02-21 23:59:59.999989,77.31,77.45,76.58,67.98,10803396.65,0.0,XLF,8,2013-02-21 23:59:59.999989,14.32,14.32,14.18,10.02,45485591.55,0.0,XLI,8,2013-02-21 23:59:59.999989,40.66,40.73,40.34,36.64,14090530.77,0.0,XLK,8,2013-02-21 23:59:59.999989,29.47,29.49,29.23,26.83,15216776.5,0.0,XLP,8,2013-02-21 23:59:59.999989,37.89,38.12,37.8,33.47,8579949.53,0.0,XLU,8,2013-02-21 23:59:59.999989,36.88,37.02,36.78,30.85,7574851.37,0.0,XLV,8,2013-02-21 23:59:59.999989,43.32,43.33,43.04,40.01,6897613.72,0.0,XLY,8,2013-02-21 23:59:59.999989,50.23,50.28,49.76,46.48,8148212.92,0.0,BackTradingStrategy,8,734920.9999999999,SimpleMovingAverage,8,,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,DataTrades,8,,,,,,,,,
9,XLB,9,2013-02-22 23:59:59.999989,37.92,38.23,37.86,34.52,6530994.01,0.0,XLE,9,2013-02-22 23:59:59.999989,77.65,78.0,77.03,68.69,5783534.27,0.0,XLF,9,2013-02-22 23:59:59.999989,14.33,14.41,14.31,10.15,37533827.59,0.0,XLI,9,2013-02-22 23:59:59.999989,40.67,40.89,40.67,36.93,8765124.51,0.0,XLK,9,2013-02-22 23:59:59.999989,29.53,29.7,29.42,27.16,7934926.67,0.0,XLP,9,2013-02-22 23:59:59.999989,38.12,38.26,38.02,33.66,5439140.23,0.0,XLU,9,2013-02-22 23:59:59.999989,36.94,37.2,36.85,31.16,5105412.47,0.0,XLV,9,2013-02-22 23:59:59.999989,43.34,43.43,43.17,40.19,5712909.85,0.0,XLY,9,2013-02-22 23:59:59.999989,50.14,50.23,49.82,46.74,4970470.96,0.0,BackTradingStrategy,9,734921.9999999999,SimpleMovingAverage,9,,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,DataTrades,9,,,,,,,,,
10,XLB,10,2013-02-25 23:59:59.999989,38.42,38.44,37.35,33.72,12026230.05,0.0,XLE,10,2013-02-25 23:59:59.999989,78.48,78.72,75.88,66.9,12165099.68,0.0,XLF,10,2013-02-25 23:59:59.999989,14.5,14.5,14.01,9.87,62034128.65,0.0,XLI,10,2013-02-25 23:59:59.999989,41.06,41.11,39.98,36.17,9875435.08,0.0,XLK,10,2013-02-25 23:59:59.999989,29.85,29.95,29.25,26.78,7392006.89,0.0,XLP,10,2013-02-25 23:59:59.999989,38.39,38.45,37.72,33.2,6927285.56,0.0,XLU,10,2013-02-25 23:59:59.999989,37.28,37.57,36.81,30.88,8224059.87,0.0,XLV,10,2013-02-25 23:59:59.999989,43.61,43.73,42.88,39.74,5630106.81,0.0,XLY,10,2013-02-25 23:59:59.999989,50.5,50.55,49.4,46.01,4956042.4,0.0,BackTradingStrategy,10,734924.9999999999,SimpleMovingAverage,10,,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,DataTrades,10,,,,,,,,,
