Date,scored_v1,scored_v2,wealth_6m,wealth_8m,wealth_10m,wealth_12m
2/13/2014,6.88,6.88,6.88,6.88,2.89,7.48
2/14/2014,6.88,6.88,6.88,6.88,2.89,7.48
2/18/2014,6.88,6.88,6.88,6.88,2.89,7.48
2/19/2014,6.88,6.88,6.88,6.88,2.89,7.48
2/20/2014,6.88,6.88,6.88,6.88,2.89,7.48
2/21/2014,6.88,6.88,6.88,6.88,2.89,7.48
2/24/2014,6.88,6.88,6.88,6.88,2.89,7.48
2/25/2014,6.88,6.88,6.88,6.88,2.89,7.48
2/26/2014,6.88,6.88,6.88,6.88,2.89,7.48
2/27/2014,6.88,6.88,6.88,6.88,2.89,7.48
2/28/2014,6.88,6.88,6.88,6.88,2.89,7.48
3/3/2014,6.88,6.88,6.88,6.88,2.89,7.48
3/4/2014,6.88,6.88,6.88,6.88,2.89,7.48
3/5/2014,6.88,6.88,6.88,6.88,2.89,7.48
3/6/2014,6.88,6.88,6.88,6.88,2.89,7.48
3/7/2014,6.88,6.88,6.88,6.88,2.89,7.48
3/10/2014,6.88,6.88,6.88,6.88,2.89,7.48
3/11/2014,6.88,6.88,6.88,6.88,2.89,7.48
3/12/2014,6.88,6.88,6.88,6.88,2.89,7.48
3/13/2014,6.88,6.88,6.88,6.88,2.89,7.48
3/14/2014,-26.75,-26.75,-51.89,-17.71,-27.48,-26.15
3/17/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
3/18/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
3/19/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
3/20/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
3/21/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
3/24/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
3/25/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
3/26/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
3/27/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
3/28/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
3/31/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
4/1/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
4/2/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
4/3/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
4/4/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
4/7/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
4/8/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
4/9/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
4/10/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
4/11/2014,-56.92,-56.92,-112.75,1.09,-14.67,-54.68
4/14/2014,-200.61,-200.61,-199.26,-142.6,-158.36,-230.41
4/15/2014,-220.69,-220.69,-153.16,-211.65,-164.6,-205.68
4/16/2014,-220.69,-220.69,-153.16,-211.65,-164.6,-205.68
4/17/2014,-220.69,-220.69,-153.16,-211.65,-164.6,-205.68
4/21/2014,-220.69,-220.69,-153.16,-211.65,-164.6,-205.68
4/22/2014,-220.69,-220.69,-153.16,-211.65,-164.6,-205.68
4/23/2014,-220.69,-220.69,-153.16,-211.65,-164.6,-205.68
4/24/2014,-220.69,-220.69,-153.16,-211.65,-164.6,-205.68
4/25/2014,-220.69,-220.69,-153.16,-211.65,-164.6,-205.68
4/28/2014,-220.69,-220.69,-153.16,-211.65,-164.6,-205.68
