Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-2013-2018,1,2013-02-11 23:59:59.999989,1517.93,1518.31,1513.61,1517.01,2684100000.0,0.0,MeanReversionStrategy,1,734910.9999999999,SimpleMovingAverage,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-2013-2018,2,2013-02-12 23:59:59.999989,1517.01,1522.29,1515.61,1519.43,3414370000.0,0.0,MeanReversionStrategy,2,734911.9999999999,SimpleMovingAverage,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-2013-2018,3,2013-02-13 23:59:59.999989,1519.43,1524.69,1515.93,1520.33,3385880000.0,0.0,MeanReversionStrategy,3,734912.9999999999,SimpleMovingAverage,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-2013-2018,4,2013-02-14 23:59:59.999989,1520.33,1523.14,1514.02,1521.38,3759740000.0,0.0,MeanReversionStrategy,4,734913.9999999999,SimpleMovingAverage,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-2013-2018,5,2013-02-15 23:59:59.999989,1521.38,1524.24,1514.14,1519.79,3838510000.0,0.0,MeanReversionStrategy,5,734914.9999999999,SimpleMovingAverage,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-2013-2018,6,2013-02-19 23:59:59.999989,1519.79,1530.94,1519.79,1530.94,3748910000.0,0.0,MeanReversionStrategy,6,734918.9999999999,SimpleMovingAverage,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-2013-2018,7,2013-02-20 23:59:59.999989,1530.94,1530.94,1511.41,1511.95,4240570000.0,0.0,MeanReversionStrategy,7,734919.9999999999,SimpleMovingAverage,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-2013-2018,8,2013-02-21 23:59:59.999989,1511.95,1511.95,1497.29,1502.42,4274600000.0,0.0,MeanReversionStrategy,8,734920.9999999999,SimpleMovingAverage,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-2013-2018,9,2013-02-22 23:59:59.999989,1502.42,1515.64,1502.42,1515.6,3419320000.0,0.0,MeanReversionStrategy,9,734921.9999999999,SimpleMovingAverage,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-2013-2018,10,2013-02-25 23:59:59.999989,1515.6,1525.84,1487.85,1487.85,4011050000.0,0.0,MeanReversionStrategy,10,734924.9999999999,SimpleMovingAverage,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
11,spx-2013-2018,11,2013-02-26 23:59:59.999989,1487.85,1498.99,1485.01,1496.94,3975280000.0,0.0,MeanReversionStrategy,11,734925.9999999999,SimpleMovingAverage,11,,Broker,11,100000.0,100000.0,BuySell,11,,,Trades,11,,
