datetime.1,Id,stockpx,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_1,len.1,open.1,high.1,low.1,close.1,volume.1,openinterest.1,stockpx_lag_2,len.2,datetime.2,open.2,high.2,low.2,close.2,volume.2,openinterest.2,stockpx_lag_3,len.3,datetime.3,open.3,high.3,low.3,close.3,volume.3,openinterest.3,stockpx_lag_4,len.4,datetime.4,open.4,high.4,low.4,close.4,volume.4,openinterest.4,stockpx_lag_5,len.5,datetime.5,open.5,high.5,low.5,close.5,volume.5,openinterest.5,stockpx_lag_6,len.6,datetime.6,open.6,high.6,low.6,close.6,volume.6,openinterest.6,stockpx_lag_7,len.7,datetime.7,open.7,high.7,low.7,close.7,volume.7,openinterest.7,stockpx_lag_8,len.8,datetime.8,open.8,high.8,low.8,close.8,volume.8,openinterest.8,stockpx_lag_9,len.9,datetime.9,open.9,high.9,low.9,close.9,volume.9,openinterest.9,stockpx_lag_10,len.10,datetime.10,open.10,high.10,low.10,close.10,volume.10,openinterest.10,straddle,len.11,datetime.11,open.11,high.11,low.11,close.11,volume.11,openinterest.11,TestStrategy,len.12,datetime.12,SMA_Crossup_50_200,len.13,sma_up_50_200,SMA_Crossdown_50_200,len.14,sma_down_50_200,SMA_Crossup_5_30,len.15,sma_up_5_30,SMA_Crossdown_5_30,len.16,sma_down_5_30,EMA_Crossup_12_26,len.17,ema_up_12_26,EMA_Crossdown_12_26,len.18,ema_down_12_26,MACD_Crossup,len.19,macd_up,MACD_Crossdown,len.20,macd_down,DEMA_CrossUp_21_55,len.21,dema_up_21_55,DEMA_CrossDown_21_55,len.22,dema_down_21_55,Broker,len.23,cash,value,BuySell,len.24,buy,sell,BuySell.1,len.25,buy.1,sell.1,BuySell.2,len.26,buy.2,sell.2,BuySell.3,len.27,buy.3,sell.3,BuySell.4,len.28,buy.4,sell.4,BuySell.5,len.29,buy.5,sell.5,BuySell.6,len.30,buy.6,sell.6,BuySell.7,len.31,buy.7,sell.7,BuySell.8,len.32,buy.8,sell.8,BuySell.9,len.33,buy.9,sell.9,BuySell.10,len.34,buy.10,sell.10,BuySell.11,len.35,buy.11,sell.11,DataTrades,len.36,stockpx.1,stockpx_lag_1.1,stockpx_lag_2.1,stockpx_lag_3.1,stockpx_lag_4.1,stockpx_lag_5.1,stockpx_lag_6.1,stockpx_lag_7.1,stockpx_lag_8.1,stockpx_lag_9.1,stockpx_lag_10.1,straddle.1,Straddle Value,Total Premium Paid,Value including Premium
2010-01-04,1,stockpx,1,2010-01-04 00:00:00,,30.642857,30.34,30.572857,123432400.0,,stockpx_lag_1,1,,,,30.625713,,,stockpx_lag_2,1.0,2010-01-04 00:00:00,,,,30.138571,,,stockpx_lag_3,1.0,2010-01-04 00:00:00,,,,30.082857,,,stockpx_lag_4,1.0,2010-01-04 00:00:00,,,,30.282858,,,stockpx_lag_5,1.0,2010-01-04 00:00:00,,,,30.015715000000004,,,stockpx_lag_6,1.0,2010-01-04 00:00:00,,,,29.674286,,,stockpx_lag_7,1.0,2010-01-04 00:00:00,,,,30.092857,,,stockpx_lag_8,1.0,2010-01-04 00:00:00,,,,29.918571000000004,,,stockpx_lag_9,1.0,2010-01-04 00:00:00,,,,29.418571000000004,,,stockpx_lag_10,1.0,2010-01-04 00:00:00,,,,30.719999,,,straddle,1.0,2010-01-04 00:00:00,,,,8.021778178092262,,,TestStrategy,1.0,733776.0,SMA_Crossup_50_200,1.0,,SMA_Crossdown_50_200,1.0,,SMA_Crossup_5_30,1.0,,SMA_Crossdown_5_30,1.0,,EMA_Crossup_12_26,1.0,,EMA_Crossdown_12_26,1.0,,MACD_Crossup,1.0,,MACD_Crossdown,1.0,,DEMA_CrossUp_21_55,1.0,,DEMA_CrossDown_21_55,1.0,,Broker,1.0,100000.0,100000.0,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,DataTrades,1.0,,,,,,,,,,,,,0.0,0.0,100000.0
2010-01-05,2,stockpx,2,2010-01-05 00:00:00,,30.798571000000003,30.464284999999997,30.625713,150476200.0,,stockpx_lag_1,2,,,,30.138571,,,stockpx_lag_2,2.0,2010-01-05 00:00:00,,,,30.082857,,,stockpx_lag_3,2.0,2010-01-05 00:00:00,,,,30.282858,,,stockpx_lag_4,2.0,2010-01-05 00:00:00,,,,30.015715000000004,,,stockpx_lag_5,2.0,2010-01-05 00:00:00,,,,29.674286,,,stockpx_lag_6,2.0,2010-01-05 00:00:00,,,,30.092857,,,stockpx_lag_7,2.0,2010-01-05 00:00:00,,,,29.918571000000004,,,stockpx_lag_8,2.0,2010-01-05 00:00:00,,,,29.418571000000004,,,stockpx_lag_9,2.0,2010-01-05 00:00:00,,,,30.719999,,,stockpx_lag_10,2.0,2010-01-05 00:00:00,,,,30.247143,,,straddle,2.0,2010-01-05 00:00:00,,,,7.8759321473949075,,,TestStrategy,2.0,733777.0,SMA_Crossup_50_200,2.0,,SMA_Crossdown_50_200,2.0,,SMA_Crossup_5_30,2.0,,SMA_Crossdown_5_30,2.0,,EMA_Crossup_12_26,2.0,,EMA_Crossdown_12_26,2.0,,MACD_Crossup,2.0,,MACD_Crossdown,2.0,,DEMA_CrossUp_21_55,2.0,,DEMA_CrossDown_21_55,2.0,,Broker,2.0,100000.0,100000.0,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,DataTrades,2.0,,,,,,,,,,,,,0.0,0.0,100000.0
2010-01-06,3,stockpx,3,2010-01-06 00:00:00,,30.747142999999998,30.107143,30.138571000000002,138040000.0,,stockpx_lag_1,3,,,,30.082857,,,stockpx_lag_2,3.0,2010-01-06 00:00:00,,,,30.282858,,,stockpx_lag_3,3.0,2010-01-06 00:00:00,,,,30.015715000000004,,,stockpx_lag_4,3.0,2010-01-06 00:00:00,,,,29.674286,,,stockpx_lag_5,3.0,2010-01-06 00:00:00,,,,30.092857,,,stockpx_lag_6,3.0,2010-01-06 00:00:00,,,,29.918571000000004,,,stockpx_lag_7,3.0,2010-01-06 00:00:00,,,,29.418571000000004,,,stockpx_lag_8,3.0,2010-01-06 00:00:00,,,,30.719999,,,stockpx_lag_9,3.0,2010-01-06 00:00:00,,,,30.247143,,,stockpx_lag_10,3.0,2010-01-06 00:00:00,,,,29.724285,,,straddle,3.0,2010-01-06 00:00:00,,,,7.6171107072543265,,,TestStrategy,3.0,733778.0,SMA_Crossup_50_200,3.0,,SMA_Crossdown_50_200,3.0,,SMA_Crossup_5_30,3.0,,SMA_Crossdown_5_30,3.0,,EMA_Crossup_12_26,3.0,,EMA_Crossdown_12_26,3.0,,MACD_Crossup,3.0,,MACD_Crossdown,3.0,,DEMA_CrossUp_21_55,3.0,,DEMA_CrossDown_21_55,3.0,,Broker,3.0,100000.0,100000.0,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,DataTrades,3.0,,,,,,,,,,,,,0.0,0.0,100000.0
2010-01-07,4,stockpx,4,2010-01-07 00:00:00,,30.285715000000003,29.864286,30.082857,119282800.0,,stockpx_lag_1,4,,,,30.282858,,,stockpx_lag_2,4.0,2010-01-07 00:00:00,,,,30.015715000000004,,,stockpx_lag_3,4.0,2010-01-07 00:00:00,,,,29.674286,,,stockpx_lag_4,4.0,2010-01-07 00:00:00,,,,30.092857,,,stockpx_lag_5,4.0,2010-01-07 00:00:00,,,,29.918571000000004,,,stockpx_lag_6,4.0,2010-01-07 00:00:00,,,,29.418571000000004,,,stockpx_lag_7,4.0,2010-01-07 00:00:00,,,,30.719999,,,stockpx_lag_8,4.0,2010-01-07 00:00:00,,,,30.247143,,,stockpx_lag_9,4.0,2010-01-07 00:00:00,,,,29.724285,,,stockpx_lag_10,4.0,2010-01-07 00:00:00,,,,28.25,,,straddle,4.0,2010-01-07 00:00:00,,,,7.625180636889397,,,TestStrategy,4.0,733779.0,SMA_Crossup_50_200,4.0,,SMA_Crossdown_50_200,4.0,,SMA_Crossup_5_30,4.0,,SMA_Crossdown_5_30,4.0,,EMA_Crossup_12_26,4.0,,EMA_Crossdown_12_26,4.0,,MACD_Crossup,4.0,,MACD_Crossdown,4.0,,DEMA_CrossUp_21_55,4.0,,DEMA_CrossDown_21_55,4.0,,Broker,4.0,100000.0,100000.0,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,DataTrades,4.0,,,,,,,,,,,,,0.0,0.0,100000.0
2010-01-08,5,stockpx,5,2010-01-08 00:00:00,,30.285715000000003,29.865715,30.282858,111902700.0,,stockpx_lag_1,5,,,,30.015715000000004,,,stockpx_lag_2,5.0,2010-01-08 00:00:00,,,,29.674286,,,stockpx_lag_3,5.0,2010-01-08 00:00:00,,,,30.092857,,,stockpx_lag_4,5.0,2010-01-08 00:00:00,,,,29.918571000000004,,,stockpx_lag_5,5.0,2010-01-08 00:00:00,,,,29.418571000000004,,,stockpx_lag_6,5.0,2010-01-08 00:00:00,,,,30.719999,,,stockpx_lag_7,5.0,2010-01-08 00:00:00,,,,30.247143,,,stockpx_lag_8,5.0,2010-01-08 00:00:00,,,,29.724285,,,stockpx_lag_9,5.0,2010-01-08 00:00:00,,,,28.25,,,stockpx_lag_10,5.0,2010-01-08 00:00:00,,,,29.01,,,straddle,5.0,2010-01-08 00:00:00,,,,7.070243736044674,,,TestStrategy,5.0,733780.0,SMA_Crossup_50_200,5.0,,SMA_Crossdown_50_200,5.0,,SMA_Crossup_5_30,5.0,,SMA_Crossdown_5_30,5.0,,EMA_Crossup_12_26,5.0,,EMA_Crossdown_12_26,5.0,,MACD_Crossup,5.0,,MACD_Crossdown,5.0,,DEMA_CrossUp_21_55,5.0,,DEMA_CrossDown_21_55,5.0,,Broker,5.0,100000.0,100000.0,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,DataTrades,5.0,,,,,,,,,,,,,0.0,0.0,100000.0
2010-01-11,6,stockpx,6,2010-01-11 00:00:00,,30.428571999999996,29.778571999999997,30.015715000000004,115557400.0,,stockpx_lag_1,6,,,,29.674286,,,stockpx_lag_2,6.0,2010-01-11 00:00:00,,,,30.092857,,,stockpx_lag_3,6.0,2010-01-11 00:00:00,,,,29.918571000000004,,,stockpx_lag_4,6.0,2010-01-11 00:00:00,,,,29.418571000000004,,,stockpx_lag_5,6.0,2010-01-11 00:00:00,,,,30.719999,,,stockpx_lag_6,6.0,2010-01-11 00:00:00,,,,30.247143,,,stockpx_lag_7,6.0,2010-01-11 00:00:00,,,,29.724285,,,stockpx_lag_8,6.0,2010-01-11 00:00:00,,,,28.25,,,stockpx_lag_9,6.0,2010-01-11 00:00:00,,,,29.01,,,stockpx_lag_10,6.0,2010-01-11 00:00:00,,,,29.42,,,straddle,6.0,2010-01-11 00:00:00,,,,7.458092820189719,,,TestStrategy,6.0,733783.0,SMA_Crossup_50_200,6.0,,SMA_Crossdown_50_200,6.0,,SMA_Crossup_5_30,6.0,,SMA_Crossdown_5_30,6.0,,EMA_Crossup_12_26,6.0,,EMA_Crossdown_12_26,6.0,,MACD_Crossup,6.0,,MACD_Crossdown,6.0,,DEMA_CrossUp_21_55,6.0,,DEMA_CrossDown_21_55,6.0,,Broker,6.0,100000.0,100000.0,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,DataTrades,6.0,,,,,,,,,,,,,0.0,0.0,100000.0
2010-01-12,7,stockpx,7,2010-01-12 00:00:00,,29.967142,29.488571000000004,29.674286,148614900.0,,stockpx_lag_1,7,,,,30.092857,,,stockpx_lag_2,7.0,2010-01-12 00:00:00,,,,29.918571000000004,,,stockpx_lag_3,7.0,2010-01-12 00:00:00,,,,29.418571000000004,,,stockpx_lag_4,7.0,2010-01-12 00:00:00,,,,30.719999,,,stockpx_lag_5,7.0,2010-01-12 00:00:00,,,,30.247143,,,stockpx_lag_6,7.0,2010-01-12 00:00:00,,,,29.724285,,,stockpx_lag_7,7.0,2010-01-12 00:00:00,,,,28.25,,,stockpx_lag_8,7.0,2010-01-12 00:00:00,,,,29.01,,,stockpx_lag_9,7.0,2010-01-12 00:00:00,,,,29.42,,,stockpx_lag_10,7.0,2010-01-12 00:00:00,,,,29.697144,,,straddle,7.0,2010-01-12 00:00:00,,,,8.408695267414771,,,TestStrategy,7.0,733784.0,SMA_Crossup_50_200,7.0,,SMA_Crossdown_50_200,7.0,,SMA_Crossup_5_30,7.0,,SMA_Crossdown_5_30,7.0,,EMA_Crossup_12_26,7.0,,EMA_Crossdown_12_26,7.0,,MACD_Crossup,7.0,,MACD_Crossdown,7.0,,DEMA_CrossUp_21_55,7.0,,DEMA_CrossDown_21_55,7.0,,Broker,7.0,100000.0,100000.0,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,DataTrades,7.0,,,,,,,,,,,,,0.0,0.0,100000.0
2010-01-13,8,stockpx,8,2010-01-13 00:00:00,,30.132856,29.157142999999998,30.092857000000002,151473000.0,,stockpx_lag_1,8,,,,29.918571000000004,,,stockpx_lag_2,8.0,2010-01-13 00:00:00,,,,29.418571000000004,,,stockpx_lag_3,8.0,2010-01-13 00:00:00,,,,30.719999,,,stockpx_lag_4,8.0,2010-01-13 00:00:00,,,,30.247143,,,stockpx_lag_5,8.0,2010-01-13 00:00:00,,,,29.724285,,,stockpx_lag_6,8.0,2010-01-13 00:00:00,,,,28.25,,,stockpx_lag_7,8.0,2010-01-13 00:00:00,,,,29.01,,,stockpx_lag_8,8.0,2010-01-13 00:00:00,,,,29.42,,,stockpx_lag_9,8.0,2010-01-13 00:00:00,,,,29.697144,,,stockpx_lag_10,8.0,2010-01-13 00:00:00,,,,28.469999,,,straddle,8.0,2010-01-13 00:00:00,,,,8.844918213517971,,,TestStrategy,8.0,733785.0,SMA_Crossup_50_200,8.0,,SMA_Crossdown_50_200,8.0,,SMA_Crossup_5_30,8.0,,SMA_Crossdown_5_30,8.0,,EMA_Crossup_12_26,8.0,,EMA_Crossdown_12_26,8.0,,MACD_Crossup,8.0,,MACD_Crossdown,8.0,,DEMA_CrossUp_21_55,8.0,,DEMA_CrossDown_21_55,8.0,,Broker,8.0,100000.0,100000.0,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,DataTrades,8.0,,,,,,,,,,,,,0.0,0.0,100000.0
2010-01-14,9,stockpx,9,2010-01-14 00:00:00,,30.065714,29.860001,29.918571000000004,108223500.0,,stockpx_lag_1,9,,,,29.418571000000004,,,stockpx_lag_2,9.0,2010-01-14 00:00:00,,,,30.719999,,,stockpx_lag_3,9.0,2010-01-14 00:00:00,,,,30.247143,,,stockpx_lag_4,9.0,2010-01-14 00:00:00,,,,29.724285,,,stockpx_lag_5,9.0,2010-01-14 00:00:00,,,,28.25,,,stockpx_lag_6,9.0,2010-01-14 00:00:00,,,,29.01,,,stockpx_lag_7,9.0,2010-01-14 00:00:00,,,,29.42,,,stockpx_lag_8,9.0,2010-01-14 00:00:00,,,,29.697144,,,stockpx_lag_9,9.0,2010-01-14 00:00:00,,,,28.469999,,,stockpx_lag_10,9.0,2010-01-14 00:00:00,,,,27.437143,,,straddle,9.0,2010-01-14 00:00:00,,,,8.613743377457922,,,TestStrategy,9.0,733786.0,SMA_Crossup_50_200,9.0,,SMA_Crossdown_50_200,9.0,,SMA_Crossup_5_30,9.0,,SMA_Crossdown_5_30,9.0,,EMA_Crossup_12_26,9.0,,EMA_Crossdown_12_26,9.0,,MACD_Crossup,9.0,,MACD_Crossdown,9.0,,DEMA_CrossUp_21_55,9.0,,DEMA_CrossDown_21_55,9.0,,Broker,9.0,100000.0,100000.0,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,DataTrades,9.0,,,,,,,,,,,,,0.0,0.0,100000.0
2010-01-15,10,stockpx,10,2010-01-15 00:00:00,,30.228571000000002,29.41,29.418571000000004,148516900.0,,stockpx_lag_1,10,,,,30.719999,,,stockpx_lag_2,10.0,2010-01-15 00:00:00,,,,30.247143,,,stockpx_lag_3,10.0,2010-01-15 00:00:00,,,,29.724285,,,stockpx_lag_4,10.0,2010-01-15 00:00:00,,,,28.25,,,stockpx_lag_5,10.0,2010-01-15 00:00:00,,,,29.01,,,stockpx_lag_6,10.0,2010-01-15 00:00:00,,,,29.42,,,stockpx_lag_7,10.0,2010-01-15 00:00:00,,,,29.697144,,,stockpx_lag_8,10.0,2010-01-15 00:00:00,,,,28.469999,,,stockpx_lag_9,10.0,2010-01-15 00:00:00,,,,27.437143,,,stockpx_lag_10,10.0,2010-01-15 00:00:00,,,,27.818571,,,straddle,10.0,2010-01-15 00:00:00,,,,8.794331214396635,,,TestStrategy,10.0,733787.0,SMA_Crossup_50_200,10.0,,SMA_Crossdown_50_200,10.0,,SMA_Crossup_5_30,10.0,,SMA_Crossdown_5_30,10.0,,EMA_Crossup_12_26,10.0,,EMA_Crossdown_12_26,10.0,,MACD_Crossup,10.0,,MACD_Crossdown,10.0,,DEMA_CrossUp_21_55,10.0,,DEMA_CrossDown_21_55,10.0,,Broker,10.0,100000.0,100000.0,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,DataTrades,10.0,,,,,,,,,,,,,0.0,0.0,100000.0
