Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,SimpleMovingAverage,len,sma,SimpleMovingAverage,len,sma,SimpleMovingAverage,len,sma,SimpleMovingAverage,len,sma,ExponentialMovingAverage,len,ema,ExponentialMovingAverage,len,ema,MACD,len,macd,signal,DoubleExponentialMovingAverage,len,dema,DoubleExponentialMovingAverage,len,dema,HullMA,len,hma,EMA_12_26_Down,len,down,EMA_12_26_Up,len,up,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,10dORHV,stockpx
1,10dORHV,1,2010-01-04 00:00:00,,,,20.07,,,stockpx,1,2010-01-04 00:00:00,,,,214.31,,,HVStrategy,1,733776.0,SimpleMovingAverage,1,,SimpleMovingAverage,1,,SimpleMovingAverage,1,,SimpleMovingAverage,1,,ExponentialMovingAverage,1,,ExponentialMovingAverage,1,,MACD,1,,,DoubleExponentialMovingAverage,1,,DoubleExponentialMovingAverage,1,,HullMA,1,,EMA_12_26_Down,1,,EMA_12_26_Up,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,10dORHV,2,2010-01-05 00:00:00,,,,19.46,,,stockpx,2,2010-01-05 00:00:00,,,,214.27,,,HVStrategy,2,733777.0,SimpleMovingAverage,2,,SimpleMovingAverage,2,,SimpleMovingAverage,2,,SimpleMovingAverage,2,,ExponentialMovingAverage,2,,ExponentialMovingAverage,2,,MACD,2,,,DoubleExponentialMovingAverage,2,,DoubleExponentialMovingAverage,2,,HullMA,2,,EMA_12_26_Down,2,,EMA_12_26_Up,2,,Broker,2,99980.54,100000.0,BuySell,2,19.46,,BuySell,2,,,DataTrades,2,,
3,10dORHV,3,2010-01-06 00:00:00,,,,19.81,,,stockpx,3,2010-01-06 00:00:00,,,,210.84,,,HVStrategy,3,733778.0,SimpleMovingAverage,3,,SimpleMovingAverage,3,,SimpleMovingAverage,3,,SimpleMovingAverage,3,,ExponentialMovingAverage,3,,ExponentialMovingAverage,3,,MACD,3,,,DoubleExponentialMovingAverage,3,,DoubleExponentialMovingAverage,3,,HullMA,3,,EMA_12_26_Down,3,,EMA_12_26_Up,3,,Broker,3,99980.54,100000.34999999999,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,10dORHV,4,2010-01-07 00:00:00,,,,19.77,,,stockpx,4,2010-01-07 00:00:00,,,,210.42,,,HVStrategy,4,733779.0,SimpleMovingAverage,4,,SimpleMovingAverage,4,,SimpleMovingAverage,4,,SimpleMovingAverage,4,,ExponentialMovingAverage,4,,ExponentialMovingAverage,4,,MACD,4,,,DoubleExponentialMovingAverage,4,,DoubleExponentialMovingAverage,4,,HullMA,4,,EMA_12_26_Down,4,,EMA_12_26_Up,4,,Broker,4,99980.54,100000.31,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,10dORHV,5,2010-01-08 00:00:00,,,,19.92,,,stockpx,5,2010-01-08 00:00:00,,,,211.83,,,HVStrategy,5,733780.0,SimpleMovingAverage,5,212.334,SimpleMovingAverage,5,,SimpleMovingAverage,5,,SimpleMovingAverage,5,,ExponentialMovingAverage,5,,ExponentialMovingAverage,5,,MACD,5,,,DoubleExponentialMovingAverage,5,,DoubleExponentialMovingAverage,5,,HullMA,5,,EMA_12_26_Down,5,,EMA_12_26_Up,5,,Broker,5,99980.54,100000.45999999999,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,10dORHV,6,2010-01-11 00:00:00,,,,18.77,,,stockpx,6,2010-01-11 00:00:00,,,,210.23,,,HVStrategy,6,733783.0,SimpleMovingAverage,6,211.51799999999997,SimpleMovingAverage,6,,SimpleMovingAverage,6,,SimpleMovingAverage,6,,ExponentialMovingAverage,6,,ExponentialMovingAverage,6,,MACD,6,,,DoubleExponentialMovingAverage,6,,DoubleExponentialMovingAverage,6,,HullMA,6,,EMA_12_26_Down,6,,EMA_12_26_Up,6,,Broker,6,99980.54,99999.31,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,10dORHV,7,2010-01-12 00:00:00,,,,18.67,,,stockpx,7,2010-01-12 00:00:00,,,,207.33,,,HVStrategy,7,733784.0,SimpleMovingAverage,7,210.13000000000002,SimpleMovingAverage,7,,SimpleMovingAverage,7,,SimpleMovingAverage,7,,ExponentialMovingAverage,7,,ExponentialMovingAverage,7,,MACD,7,,,DoubleExponentialMovingAverage,7,,DoubleExponentialMovingAverage,7,,HullMA,7,,EMA_12_26_Down,7,,EMA_12_26_Up,7,,Broker,7,99980.54,99999.20999999999,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,10dORHV,8,2010-01-13 00:00:00,,,,19.64,,,stockpx,8,2010-01-13 00:00:00,,,,210.74,,,HVStrategy,8,733785.0,SimpleMovingAverage,8,210.10999999999999,SimpleMovingAverage,8,,SimpleMovingAverage,8,,SimpleMovingAverage,8,,ExponentialMovingAverage,8,,ExponentialMovingAverage,8,,MACD,8,,,DoubleExponentialMovingAverage,8,,DoubleExponentialMovingAverage,8,,HullMA,8,,EMA_12_26_Down,8,,EMA_12_26_Up,8,,Broker,8,99980.54,100000.18,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,10dORHV,9,2010-01-14 00:00:00,,,,18.69,,,stockpx,9,2010-01-14 00:00:00,,,,209.42,,,HVStrategy,9,733786.0,SimpleMovingAverage,9,209.91,SimpleMovingAverage,9,,SimpleMovingAverage,9,,SimpleMovingAverage,9,,ExponentialMovingAverage,9,,ExponentialMovingAverage,9,,MACD,9,,,DoubleExponentialMovingAverage,9,,DoubleExponentialMovingAverage,9,,HullMA,9,,EMA_12_26_Down,9,,EMA_12_26_Up,9,,Broker,9,99999.23,99999.23,BuySell,9,,18.69,BuySell,9,,,DataTrades,9,-0.7699999999999996,
10,10dORHV,10,2010-01-15 00:00:00,,,,19.51,,,stockpx,10,2010-01-15 00:00:00,,,,206.01,,,HVStrategy,10,733787.0,SimpleMovingAverage,10,208.746,SimpleMovingAverage,10,,SimpleMovingAverage,10,,SimpleMovingAverage,10,,ExponentialMovingAverage,10,,ExponentialMovingAverage,10,,MACD,10,,,DoubleExponentialMovingAverage,10,,DoubleExponentialMovingAverage,10,,HullMA,10,,EMA_12_26_Down,10,,EMA_12_26_Up,10,,Broker,10,99999.23,99999.23,BuySell,10,,,BuySell,10,,,DataTrades,10,,
