datetime.1,Id,stockpx,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_1,len.1,open.1,high.1,low.1,close.1,volume.1,openinterest.1,stockpx_lag_2,len.2,datetime.2,open.2,high.2,low.2,close.2,volume.2,openinterest.2,stockpx_lag_3,len.3,datetime.3,open.3,high.3,low.3,close.3,volume.3,openinterest.3,stockpx_lag_4,len.4,datetime.4,open.4,high.4,low.4,close.4,volume.4,openinterest.4,stockpx_lag_5,len.5,datetime.5,open.5,high.5,low.5,close.5,volume.5,openinterest.5,straddle,len.6,datetime.6,open.6,high.6,low.6,close.6,volume.6,openinterest.6,TestStrategy,len.7,datetime.7,SMA_Crossup_50_200,len.8,sma_up_50_200,SMA_Crossdown_50_200,len.9,sma_down_50_200,SMA_Crossup_5_30,len.10,sma_up_5_30,SMA_Crossdown_5_30,len.11,sma_down_5_30,EMA_Crossup_12_26,len.12,ema_up_12_26,EMA_Crossdown_12_26,len.13,ema_down_12_26,MACD_Crossup,len.14,macd_up,MACD_Crossdown,len.15,macd_down,DEMA_CrossUp_21_55,len.16,dema_up_21_55,DEMA_CrossDown_21_55,len.17,dema_down_21_55,Broker,len.18,cash,value,BuySell,len.19,buy,sell,BuySell.1,len.20,buy.1,sell.1,BuySell.2,len.21,buy.2,sell.2,BuySell.3,len.22,buy.3,sell.3,BuySell.4,len.23,buy.4,sell.4,BuySell.5,len.24,buy.5,sell.5,BuySell.6,len.25,buy.6,sell.6,DataTrades,len.26,stockpx.1,stockpx_lag_1.1,stockpx_lag_2.1,stockpx_lag_3.1,stockpx_lag_4.1,stockpx_lag_5.1,straddle.1,Straddle Value,Total Premium Paid,Value including Premium
2010-01-04,1,stockpx,1,2010-01-04 00:00:00,,31.1,30.59,30.950001,38409100.0,,stockpx_lag_1,1.0,,,,30.959999,,,stockpx_lag_2,1.0,2010-01-04 00:00:00,,,,30.77,,,stockpx_lag_3,1.0,2010-01-04 00:00:00,,,,30.450001,,,stockpx_lag_4,1.0,2010-01-04 00:00:00,,,,30.66,,,stockpx_lag_5,1.0,2010-01-04 00:00:00,,,,30.27,,,straddle,1.0,2010-01-04 00:00:00,,,,0.7307605320435648,,,TestStrategy,1.0,733776.0,SMA_Crossup_50_200,1.0,,SMA_Crossdown_50_200,1.0,,SMA_Crossup_5_30,1.0,,SMA_Crossdown_5_30,1.0,,EMA_Crossup_12_26,1.0,,EMA_Crossdown_12_26,1.0,,MACD_Crossup,1.0,,MACD_Crossdown,1.0,,DEMA_CrossUp_21_55,1.0,,DEMA_CrossDown_21_55,1.0,,Broker,1.0,100000.0,100000.0,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,BuySell,1.0,,,DataTrades,1.0,,,,,,,,0.0,0.0,100000.0
2010-01-05,2,stockpx,2,2010-01-05 00:00:00,,31.1,30.639999,30.959999,49749600.0,,stockpx_lag_1,2.0,,,,30.77,,,stockpx_lag_2,2.0,2010-01-05 00:00:00,,,,30.450001,,,stockpx_lag_3,2.0,2010-01-05 00:00:00,,,,30.66,,,stockpx_lag_4,2.0,2010-01-05 00:00:00,,,,30.27,,,stockpx_lag_5,2.0,2010-01-05 00:00:00,,,,30.07,,,straddle,2.0,2010-01-05 00:00:00,,,,0.7357579251700201,,,TestStrategy,2.0,733777.0,SMA_Crossup_50_200,2.0,,SMA_Crossdown_50_200,2.0,,SMA_Crossup_5_30,2.0,,SMA_Crossdown_5_30,2.0,,EMA_Crossup_12_26,2.0,,EMA_Crossdown_12_26,2.0,,MACD_Crossup,2.0,,MACD_Crossdown,2.0,,DEMA_CrossUp_21_55,2.0,,DEMA_CrossDown_21_55,2.0,,Broker,2.0,100000.0,100000.0,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,BuySell,2.0,,,DataTrades,2.0,,,,,,,,0.0,0.0,100000.0
2010-01-06,3,stockpx,3,2010-01-06 00:00:00,,31.08,30.52,30.77,58182400.0,,stockpx_lag_1,3.0,,,,30.450001,,,stockpx_lag_2,3.0,2010-01-06 00:00:00,,,,30.66,,,stockpx_lag_3,3.0,2010-01-06 00:00:00,,,,30.27,,,stockpx_lag_4,3.0,2010-01-06 00:00:00,,,,30.07,,,stockpx_lag_5,3.0,2010-01-06 00:00:00,,,,30.35,,,straddle,3.0,2010-01-06 00:00:00,,,,0.7494818167588058,,,TestStrategy,3.0,733778.0,SMA_Crossup_50_200,3.0,,SMA_Crossdown_50_200,3.0,,SMA_Crossup_5_30,3.0,,SMA_Crossdown_5_30,3.0,,EMA_Crossup_12_26,3.0,,EMA_Crossdown_12_26,3.0,,MACD_Crossup,3.0,,MACD_Crossdown,3.0,,DEMA_CrossUp_21_55,3.0,,DEMA_CrossDown_21_55,3.0,,Broker,3.0,100000.0,100000.0,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,BuySell,3.0,,,DataTrades,3.0,,,,,,,,0.0,0.0,100000.0
2010-01-07,4,stockpx,4,2010-01-07 00:00:00,,30.700001,30.190001000000002,30.450001,50559700.0,,stockpx_lag_1,4.0,,,,30.66,,,stockpx_lag_2,4.0,2010-01-07 00:00:00,,,,30.27,,,stockpx_lag_3,4.0,2010-01-07 00:00:00,,,,30.07,,,stockpx_lag_4,4.0,2010-01-07 00:00:00,,,,30.35,,,stockpx_lag_5,4.0,2010-01-07 00:00:00,,,,30.959999,,,straddle,4.0,2010-01-07 00:00:00,,,,0.7859020304941833,,,TestStrategy,4.0,733779.0,SMA_Crossup_50_200,4.0,,SMA_Crossdown_50_200,4.0,,SMA_Crossup_5_30,4.0,,SMA_Crossdown_5_30,4.0,,EMA_Crossup_12_26,4.0,,EMA_Crossdown_12_26,4.0,,MACD_Crossup,4.0,,MACD_Crossdown,4.0,,DEMA_CrossUp_21_55,4.0,,DEMA_CrossDown_21_55,4.0,,Broker,4.0,100000.0,100000.0,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,BuySell,4.0,,,DataTrades,4.0,,,,,,,,0.0,0.0,100000.0
2010-01-08,5,stockpx,5,2010-01-08 00:00:00,,30.879998999999998,30.24,30.66,51197400.0,,stockpx_lag_1,5.0,,,,30.27,,,stockpx_lag_2,5.0,2010-01-08 00:00:00,,,,30.07,,,stockpx_lag_3,5.0,2010-01-08 00:00:00,,,,30.35,,,stockpx_lag_4,5.0,2010-01-08 00:00:00,,,,30.959999,,,stockpx_lag_5,5.0,2010-01-08 00:00:00,,,,30.860001,,,straddle,5.0,2010-01-08 00:00:00,,,,0.7654026442445314,,,TestStrategy,5.0,733780.0,SMA_Crossup_50_200,5.0,,SMA_Crossdown_50_200,5.0,,SMA_Crossup_5_30,5.0,,SMA_Crossdown_5_30,5.0,,EMA_Crossup_12_26,5.0,,EMA_Crossdown_12_26,5.0,,MACD_Crossup,5.0,,MACD_Crossdown,5.0,,DEMA_CrossUp_21_55,5.0,,DEMA_CrossDown_21_55,5.0,,Broker,5.0,100000.0,100000.0,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,BuySell,5.0,,,DataTrades,5.0,,,,,,,,0.0,0.0,100000.0
2010-01-11,6,stockpx,6,2010-01-11 00:00:00,,30.76,30.120001000000002,30.27,68754700.0,,stockpx_lag_1,6.0,,,,30.07,,,stockpx_lag_2,6.0,2010-01-11 00:00:00,,,,30.35,,,stockpx_lag_3,6.0,2010-01-11 00:00:00,,,,30.959999,,,stockpx_lag_4,6.0,2010-01-11 00:00:00,,,,30.860001,,,stockpx_lag_5,6.0,2010-01-11 00:00:00,,,,31.1,,,straddle,6.0,2010-01-11 00:00:00,,,,0.8462985166047794,,,TestStrategy,6.0,733783.0,SMA_Crossup_50_200,6.0,,SMA_Crossdown_50_200,6.0,,SMA_Crossup_5_30,6.0,,SMA_Crossdown_5_30,6.0,,EMA_Crossup_12_26,6.0,,EMA_Crossdown_12_26,6.0,,MACD_Crossup,6.0,,MACD_Crossdown,6.0,,DEMA_CrossUp_21_55,6.0,,DEMA_CrossDown_21_55,6.0,,Broker,6.0,100000.0,100000.0,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,BuySell,6.0,,,DataTrades,6.0,,,,,,,,0.0,0.0,100000.0
2010-01-12,7,stockpx,7,2010-01-12 00:00:00,,30.4,29.91,30.07,65912100.0,,stockpx_lag_1,7.0,,,,30.35,,,stockpx_lag_2,7.0,2010-01-12 00:00:00,,,,30.959999,,,stockpx_lag_3,7.0,2010-01-12 00:00:00,,,,30.860001,,,stockpx_lag_4,7.0,2010-01-12 00:00:00,,,,31.1,,,stockpx_lag_5,7.0,2010-01-12 00:00:00,,,,30.59,,,straddle,7.0,2010-01-12 00:00:00,,,,0.8785736144160605,,,TestStrategy,7.0,733784.0,SMA_Crossup_50_200,7.0,,SMA_Crossdown_50_200,7.0,,SMA_Crossup_5_30,7.0,,SMA_Crossdown_5_30,7.0,,EMA_Crossup_12_26,7.0,,EMA_Crossdown_12_26,7.0,,MACD_Crossup,7.0,,MACD_Crossdown,7.0,,DEMA_CrossUp_21_55,7.0,,DEMA_CrossDown_21_55,7.0,,Broker,7.0,100000.0,100000.0,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,BuySell,7.0,,,DataTrades,7.0,,,,,,,,0.0,0.0,100000.0
2010-01-13,8,stockpx,8,2010-01-13 00:00:00,,30.52,30.01,30.35,51863500.0,,stockpx_lag_1,8.0,,,,30.959999,,,stockpx_lag_2,8.0,2010-01-13 00:00:00,,,,30.860001,,,stockpx_lag_3,8.0,2010-01-13 00:00:00,,,,31.1,,,stockpx_lag_4,8.0,2010-01-13 00:00:00,,,,30.59,,,stockpx_lag_5,8.0,2010-01-13 00:00:00,,,,30.01,,,straddle,8.0,2010-01-13 00:00:00,,,,0.8606715291515172,,,TestStrategy,8.0,733785.0,SMA_Crossup_50_200,8.0,,SMA_Crossdown_50_200,8.0,,SMA_Crossup_5_30,8.0,,SMA_Crossdown_5_30,8.0,,EMA_Crossup_12_26,8.0,,EMA_Crossdown_12_26,8.0,,MACD_Crossup,8.0,,MACD_Crossdown,8.0,,DEMA_CrossUp_21_55,8.0,,DEMA_CrossDown_21_55,8.0,,Broker,8.0,100000.0,100000.0,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,BuySell,8.0,,,DataTrades,8.0,,,,,,,,0.0,0.0,100000.0
2010-01-14,9,stockpx,9,2010-01-14 00:00:00,,31.1,30.26,30.959999,63228100.0,,stockpx_lag_1,9.0,,,,30.860001,,,stockpx_lag_2,9.0,2010-01-14 00:00:00,,,,31.1,,,stockpx_lag_3,9.0,2010-01-14 00:00:00,,,,30.59,,,stockpx_lag_4,9.0,2010-01-14 00:00:00,,,,30.01,,,stockpx_lag_5,9.0,2010-01-14 00:00:00,,,,28.959999,,,straddle,9.0,2010-01-14 00:00:00,,,,0.8908013309757976,,,TestStrategy,9.0,733786.0,SMA_Crossup_50_200,9.0,,SMA_Crossdown_50_200,9.0,,SMA_Crossup_5_30,9.0,,SMA_Crossdown_5_30,9.0,,EMA_Crossup_12_26,9.0,,EMA_Crossdown_12_26,9.0,,MACD_Crossup,9.0,,MACD_Crossdown,9.0,,DEMA_CrossUp_21_55,9.0,,DEMA_CrossDown_21_55,9.0,,Broker,9.0,100000.0,100000.0,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,BuySell,9.0,,,DataTrades,9.0,,,,,,,,0.0,0.0,100000.0
2010-01-15,10,stockpx,10,2010-01-15 00:00:00,,31.24,30.709999,30.860001,79913200.0,,stockpx_lag_1,10.0,,,,31.1,,,stockpx_lag_2,10.0,2010-01-15 00:00:00,,,,30.59,,,stockpx_lag_3,10.0,2010-01-15 00:00:00,,,,30.01,,,stockpx_lag_4,10.0,2010-01-15 00:00:00,,,,28.959999,,,stockpx_lag_5,10.0,2010-01-15 00:00:00,,,,29.32,,,straddle,10.0,2010-01-15 00:00:00,,,,0.8043484446289321,,,TestStrategy,10.0,733787.0,SMA_Crossup_50_200,10.0,,SMA_Crossdown_50_200,10.0,,SMA_Crossup_5_30,10.0,,SMA_Crossdown_5_30,10.0,,EMA_Crossup_12_26,10.0,,EMA_Crossdown_12_26,10.0,,MACD_Crossup,10.0,,MACD_Crossdown,10.0,,DEMA_CrossUp_21_55,10.0,,DEMA_CrossDown_21_55,10.0,,Broker,10.0,100000.0,100000.0,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,BuySell,10.0,,,DataTrades,10.0,,,,,,,,0.0,0.0,100000.0
2010-01-19,11,stockpx,11,2010-01-19 00:00:00,,31.24,30.68,31.1,46575700.0,,stockpx_lag_1,11.0,,,,30.59,,,stockpx_lag_2,11.0,2010-01-19 00:00:00,,,,30.01,,,stockpx_lag_3,11.0,2010-01-19 00:00:00,,,,28.959999,,,stockpx_lag_4,11.0,2010-01-19 00:00:00,,,,29.32,,,stockpx_lag_5,11.0,2010-01-19 00:00:00,,,,29.5,,,straddle,11.0,2010-01-19 00:00:00,,,,0.8463176590648782,,,TestStrategy,11.0,733791.0,SMA_Crossup_50_200,11.0,,SMA_Crossdown_50_200,11.0,,SMA_Crossup_5_30,11.0,,SMA_Crossdown_5_30,11.0,,EMA_Crossup_12_26,11.0,,EMA_Crossdown_12_26,11.0,,MACD_Crossup,11.0,,MACD_Crossdown,11.0,,DEMA_CrossUp_21_55,11.0,,DEMA_CrossDown_21_55,11.0,,Broker,11.0,100000.0,100000.0,BuySell,11.0,,,BuySell,11.0,,,BuySell,11.0,,,BuySell,11.0,,,BuySell,11.0,,,BuySell,11.0,,,BuySell,11.0,,,DataTrades,11.0,,,,,,,,0.0,0.0,100000.0
2010-01-20,12,stockpx,12,2010-01-20 00:00:00,,30.940001000000002,30.309998999999998,30.59,54849500.0,,stockpx_lag_1,12.0,,,,30.01,,,stockpx_lag_2,12.0,2010-01-20 00:00:00,,,,28.959999,,,stockpx_lag_3,12.0,2010-01-20 00:00:00,,,,29.32,,,stockpx_lag_4,12.0,2010-01-20 00:00:00,,,,29.5,,,stockpx_lag_5,12.0,2010-01-20 00:00:00,,,,29.67,,,straddle,12.0,2010-01-20 00:00:00,,,,0.8711972636858629,,,TestStrategy,12.0,733792.0,SMA_Crossup_50_200,12.0,,SMA_Crossdown_50_200,12.0,,SMA_Crossup_5_30,12.0,,SMA_Crossdown_5_30,12.0,,EMA_Crossup_12_26,12.0,,EMA_Crossdown_12_26,12.0,,MACD_Crossup,12.0,,MACD_Crossdown,12.0,,DEMA_CrossUp_21_55,12.0,,DEMA_CrossDown_21_55,12.0,,Broker,12.0,100000.0,100000.0,BuySell,12.0,,,BuySell,12.0,,,BuySell,12.0,,,BuySell,12.0,,,BuySell,12.0,,,BuySell,12.0,,,BuySell,12.0,,,DataTrades,12.0,,,,,,,,0.0,0.0,100000.0
