Id,stockpx,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_1,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_2,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_3,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_4,len,datetime,open,high,low,close,volume,openinterest,stockpx_lag_5,len,datetime,open,high,low,close,volume,openinterest,10dORHV,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,PSAR,len,psar,SMA_Crossup_50_200,len,sma_up_50_200,SMA_Crossdown_50_200,len,sma_down_50_200,SMA_Crossup_5_30,len,sma_up_5_30,SMA_Crossdown_5_30,len,sma_down_5_30,EMA_Crossup_12_26,len,ema_up_12_26,EMA_Crossdown_12_26,len,ema_down_12_26,MACD_Crossup,len,macd_up,MACD_Crossdown,len,macd_down,DEMA_CrossUp_21_55,len,dema_up_21_55,DEMA_CrossDown_21_55,len,dema_down_21_55,PSAR_above,len,psar_above,PSAR_below,len,psar_below,ADX_up,len,adx_up,ADX_down,len,adx_down,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,stockpx,stockpx_lag_1,stockpx_lag_2,stockpx_lag_3,stockpx_lag_4,stockpx_lag_5,10dORHV
1,stockpx,1,2010-01-04 00:00:00,,17.200001,16.879998999999998,17.1,16587400.0,,stockpx_lag_1,1,2010-01-04 00:00:00,,,,17.23,,,stockpx_lag_2,1,2010-01-04 00:00:00,,,,17.17,,,stockpx_lag_3,1,2010-01-04 00:00:00,,,,16.700001,,,stockpx_lag_4,1,2010-01-04 00:00:00,,,,16.700001,,,stockpx_lag_5,1,2010-01-04 00:00:00,,,,16.74,,,10dORHV,1,2010-01-04 00:00:00,,,,0.5365515025164314,,,TestStrategy,1,733776.0,PSAR,1,,SMA_Crossup_50_200,1,,SMA_Crossdown_50_200,1,,SMA_Crossup_5_30,1,,SMA_Crossdown_5_30,1,,EMA_Crossup_12_26,1,,EMA_Crossdown_12_26,1,,MACD_Crossup,1,,MACD_Crossdown,1,,DEMA_CrossUp_21_55,1,,DEMA_CrossDown_21_55,1,,PSAR_above,1,,PSAR_below,1,,ADX_up,1,,ADX_down,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,DataTrades,1,,,,,,,
2,stockpx,2,2010-01-05 00:00:00,,17.23,17.0,17.23,11718100.0,,stockpx_lag_1,2,2010-01-05 00:00:00,,,,17.17,,,stockpx_lag_2,2,2010-01-05 00:00:00,,,,16.700001,,,stockpx_lag_3,2,2010-01-05 00:00:00,,,,16.700001,,,stockpx_lag_4,2,2010-01-05 00:00:00,,,,16.74,,,stockpx_lag_5,2,2010-01-05 00:00:00,,,,16.68,,,10dORHV,2,2010-01-05 00:00:00,,,,0.5760809821116428,,,TestStrategy,2,733777.0,PSAR,2,16.879998999999998,SMA_Crossup_50_200,2,,SMA_Crossdown_50_200,2,,SMA_Crossup_5_30,2,,SMA_Crossdown_5_30,2,,EMA_Crossup_12_26,2,,EMA_Crossdown_12_26,2,,MACD_Crossup,2,,MACD_Crossdown,2,,DEMA_CrossUp_21_55,2,,DEMA_CrossDown_21_55,2,,PSAR_above,2,0.0,PSAR_below,2,1.0,ADX_up,2,,ADX_down,2,,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,DataTrades,2,,,,,,,
3,stockpx,3,2010-01-06 00:00:00,,17.299999,17.07,17.17,16422000.0,,stockpx_lag_1,3,2010-01-06 00:00:00,,,,16.700001,,,stockpx_lag_2,3,2010-01-06 00:00:00,,,,16.700001,,,stockpx_lag_3,3,2010-01-06 00:00:00,,,,16.74,,,stockpx_lag_4,3,2010-01-06 00:00:00,,,,16.68,,,stockpx_lag_5,3,2010-01-06 00:00:00,,,,16.9,,,10dORHV,3,2010-01-06 00:00:00,,,,0.5589093329072234,,,TestStrategy,3,733778.0,PSAR,3,16.879998999999998,SMA_Crossup_50_200,3,,SMA_Crossdown_50_200,3,,SMA_Crossup_5_30,3,,SMA_Crossdown_5_30,3,,EMA_Crossup_12_26,3,,EMA_Crossdown_12_26,3,,MACD_Crossup,3,,MACD_Crossdown,3,,DEMA_CrossUp_21_55,3,,DEMA_CrossDown_21_55,3,,PSAR_above,3,0.0,PSAR_below,3,1.0,ADX_up,3,,ADX_down,3,,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,BuySell,3,,,DataTrades,3,,,,,,,
4,stockpx,4,2010-01-07 00:00:00,,16.9,16.57,16.700001,31816300.0,,stockpx_lag_1,4,2010-01-07 00:00:00,,,,16.700001,,,stockpx_lag_2,4,2010-01-07 00:00:00,,,,16.74,,,stockpx_lag_3,4,2010-01-07 00:00:00,,,,16.68,,,stockpx_lag_4,4,2010-01-07 00:00:00,,,,16.9,,,stockpx_lag_5,4,2010-01-07 00:00:00,,,,17.120001000000002,,,10dORHV,4,2010-01-07 00:00:00,,,,0.553888841126847,,,TestStrategy,4,733779.0,PSAR,4,17.299999,SMA_Crossup_50_200,4,,SMA_Crossdown_50_200,4,,SMA_Crossup_5_30,4,,SMA_Crossdown_5_30,4,,EMA_Crossup_12_26,4,,EMA_Crossdown_12_26,4,,MACD_Crossup,4,,MACD_Crossdown,4,,DEMA_CrossUp_21_55,4,,DEMA_CrossDown_21_55,4,,PSAR_above,4,1.0,PSAR_below,4,0.0,ADX_up,4,,ADX_down,4,,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,BuySell,4,,,DataTrades,4,,,,,,,
5,stockpx,5,2010-01-08 00:00:00,,16.76,16.620001000000002,16.700001,15470000.0,,stockpx_lag_1,5,2010-01-08 00:00:00,,,,16.74,,,stockpx_lag_2,5,2010-01-08 00:00:00,,,,16.68,,,stockpx_lag_3,5,2010-01-08 00:00:00,,,,16.9,,,stockpx_lag_4,5,2010-01-08 00:00:00,,,,17.120001000000002,,,stockpx_lag_5,5,2010-01-08 00:00:00,,,,16.82,,,10dORHV,5,2010-01-08 00:00:00,,,,0.5282473297250068,,,TestStrategy,5,733780.0,PSAR,5,17.299999,SMA_Crossup_50_200,5,,SMA_Crossdown_50_200,5,,SMA_Crossup_5_30,5,,SMA_Crossdown_5_30,5,,EMA_Crossup_12_26,5,,EMA_Crossdown_12_26,5,,MACD_Crossup,5,,MACD_Crossdown,5,,DEMA_CrossUp_21_55,5,,DEMA_CrossDown_21_55,5,,PSAR_above,5,1.0,PSAR_below,5,0.0,ADX_up,5,,ADX_down,5,,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,DataTrades,5,,,,,,,
6,stockpx,6,2010-01-11 00:00:00,,16.83,16.48,16.74,16181900.0,,stockpx_lag_1,6,2010-01-11 00:00:00,,,,16.68,,,stockpx_lag_2,6,2010-01-11 00:00:00,,,,16.9,,,stockpx_lag_3,6,2010-01-11 00:00:00,,,,17.120001000000002,,,stockpx_lag_4,6,2010-01-11 00:00:00,,,,16.82,,,stockpx_lag_5,6,2010-01-11 00:00:00,,,,16.75,,,10dORHV,6,2010-01-11 00:00:00,,,,0.5727970386764643,,,TestStrategy,6,733783.0,PSAR,6,17.28539902,SMA_Crossup_50_200,6,,SMA_Crossdown_50_200,6,,SMA_Crossup_5_30,6,,SMA_Crossdown_5_30,6,,EMA_Crossup_12_26,6,,EMA_Crossdown_12_26,6,,MACD_Crossup,6,,MACD_Crossdown,6,,DEMA_CrossUp_21_55,6,,DEMA_CrossDown_21_55,6,,PSAR_above,6,1.0,PSAR_below,6,0.0,ADX_up,6,,ADX_down,6,,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,DataTrades,6,,,,,,,
7,stockpx,7,2010-01-12 00:00:00,,16.860001,16.6,16.68,15672400.0,,stockpx_lag_1,7,2010-01-12 00:00:00,,,,16.9,,,stockpx_lag_2,7,2010-01-12 00:00:00,,,,17.120001000000002,,,stockpx_lag_3,7,2010-01-12 00:00:00,,,,16.82,,,stockpx_lag_4,7,2010-01-12 00:00:00,,,,16.75,,,stockpx_lag_5,7,2010-01-12 00:00:00,,,,16.379998999999998,,,10dORHV,7,2010-01-12 00:00:00,,,,0.5679408804519372,,,TestStrategy,7,733784.0,PSAR,7,17.124319216,SMA_Crossup_50_200,7,,SMA_Crossdown_50_200,7,,SMA_Crossup_5_30,7,,SMA_Crossdown_5_30,7,,EMA_Crossup_12_26,7,,EMA_Crossdown_12_26,7,,MACD_Crossup,7,,MACD_Crossdown,7,,DEMA_CrossUp_21_55,7,,DEMA_CrossDown_21_55,7,,PSAR_above,7,1.0,PSAR_below,7,0.0,ADX_up,7,,ADX_down,7,,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,DataTrades,7,,,,,,,
8,stockpx,8,2010-01-13 00:00:00,,16.98,16.65,16.9,16955600.0,,stockpx_lag_1,8,2010-01-13 00:00:00,,,,17.120001000000002,,,stockpx_lag_2,8,2010-01-13 00:00:00,,,,16.82,,,stockpx_lag_3,8,2010-01-13 00:00:00,,,,16.75,,,stockpx_lag_4,8,2010-01-13 00:00:00,,,,16.379998999999998,,,stockpx_lag_5,8,2010-01-13 00:00:00,,,,16.200001,,,10dORHV,8,2010-01-13 00:00:00,,,,0.5760830215869568,,,TestStrategy,8,733785.0,PSAR,8,16.9954553728,SMA_Crossup_50_200,8,,SMA_Crossdown_50_200,8,,SMA_Crossup_5_30,8,,SMA_Crossdown_5_30,8,,EMA_Crossup_12_26,8,,EMA_Crossdown_12_26,8,,MACD_Crossup,8,,MACD_Crossdown,8,,DEMA_CrossUp_21_55,8,,DEMA_CrossDown_21_55,8,,PSAR_above,8,1.0,PSAR_below,8,0.0,ADX_up,8,,ADX_down,8,,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,DataTrades,8,,,,,,,
9,stockpx,9,2010-01-14 00:00:00,,17.23,16.799999,17.120001000000002,16715600.0,,stockpx_lag_1,9,2010-01-14 00:00:00,,,,16.82,,,stockpx_lag_2,9,2010-01-14 00:00:00,,,,16.75,,,stockpx_lag_3,9,2010-01-14 00:00:00,,,,16.379998999999998,,,stockpx_lag_4,9,2010-01-14 00:00:00,,,,16.200001,,,stockpx_lag_5,9,2010-01-14 00:00:00,,,,15.88,,,10dORHV,9,2010-01-14 00:00:00,,,,0.5440639784777428,,,TestStrategy,9,733786.0,PSAR,9,16.48,SMA_Crossup_50_200,9,,SMA_Crossdown_50_200,9,,SMA_Crossup_5_30,9,,SMA_Crossdown_5_30,9,,EMA_Crossup_12_26,9,,EMA_Crossdown_12_26,9,,MACD_Crossup,9,,MACD_Crossdown,9,,DEMA_CrossUp_21_55,9,,DEMA_CrossDown_21_55,9,,PSAR_above,9,0.0,PSAR_below,9,1.0,ADX_up,9,,ADX_down,9,,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,DataTrades,9,,,,,,,
10,stockpx,10,2010-01-15 00:00:00,,17.25,16.75,16.82,18415000.0,,stockpx_lag_1,10,2010-01-15 00:00:00,,,,16.75,,,stockpx_lag_2,10,2010-01-15 00:00:00,,,,16.379998999999998,,,stockpx_lag_3,10,2010-01-15 00:00:00,,,,16.200001,,,stockpx_lag_4,10,2010-01-15 00:00:00,,,,15.88,,,stockpx_lag_5,10,2010-01-15 00:00:00,,,,15.86,,,10dORHV,10,2010-01-15 00:00:00,,,,0.5033971423406172,,,TestStrategy,10,733787.0,PSAR,10,16.495,SMA_Crossup_50_200,10,,SMA_Crossdown_50_200,10,,SMA_Crossup_5_30,10,,SMA_Crossdown_5_30,10,,EMA_Crossup_12_26,10,,EMA_Crossdown_12_26,10,,MACD_Crossup,10,,MACD_Crossdown,10,,DEMA_CrossUp_21_55,10,,DEMA_CrossDown_21_55,10,,PSAR_above,10,0.0,PSAR_below,10,1.0,ADX_up,10,,ADX_down,10,,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,DataTrades,10,,,,,,,
