Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,SimpleMovingAverage,len,sma,SimpleMovingAverage,len,sma,RSI,len,rsi,KST_Crossup,len,crossup,KST_Crossdown,len,crossdown,CrossUp,len,cross,CrossDown,len,cross,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,10dORHV,stockpx
1,10dORHV,1,2010-01-04 00:00:00,,,,24.69,,,stockpx,1,2010-01-04 00:00:00,,,,17.1,,,HVStrategy,1,733776.0,SimpleMovingAverage,1,,SimpleMovingAverage,1,,RSI,1,,KST_Crossup,1,,KST_Crossdown,1,,CrossUp,1,,CrossDown,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,10dORHV,2,2010-01-05 00:00:00,,,,23.59,,,stockpx,2,2010-01-05 00:00:00,,,,17.22,,,HVStrategy,2,733777.0,SimpleMovingAverage,2,,SimpleMovingAverage,2,,RSI,2,,KST_Crossup,2,,KST_Crossdown,2,,CrossUp,2,,CrossDown,2,,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,10dORHV,3,2010-01-06 00:00:00,,,,22.59,,,stockpx,3,2010-01-06 00:00:00,,,,17.16,,,HVStrategy,3,733778.0,SimpleMovingAverage,3,,SimpleMovingAverage,3,,RSI,3,,KST_Crossup,3,,KST_Crossdown,3,,CrossUp,3,,CrossDown,3,,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,10dORHV,4,2010-01-07 00:00:00,,,,24.71,,,stockpx,4,2010-01-07 00:00:00,,,,16.7,,,HVStrategy,4,733779.0,SimpleMovingAverage,4,,SimpleMovingAverage,4,,RSI,4,,KST_Crossup,4,,KST_Crossdown,4,,CrossUp,4,,CrossDown,4,,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,10dORHV,5,2010-01-08 00:00:00,,,,20.74,,,stockpx,5,2010-01-08 00:00:00,,,,16.7,,,HVStrategy,5,733780.0,SimpleMovingAverage,5,,SimpleMovingAverage,5,,RSI,5,,KST_Crossup,5,,KST_Crossdown,5,,CrossUp,5,,CrossDown,5,,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,10dORHV,6,2010-01-11 00:00:00,,,,17.82,,,stockpx,6,2010-01-11 00:00:00,,,,16.8,,,HVStrategy,6,733783.0,SimpleMovingAverage,6,,SimpleMovingAverage,6,,RSI,6,,KST_Crossup,6,,KST_Crossdown,6,,CrossUp,6,,CrossDown,6,,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,10dORHV,7,2010-01-12 00:00:00,,,,17.62,,,stockpx,7,2010-01-12 00:00:00,,,,16.69,,,HVStrategy,7,733784.0,SimpleMovingAverage,7,,SimpleMovingAverage,7,,RSI,7,,KST_Crossup,7,,KST_Crossdown,7,,CrossUp,7,,CrossDown,7,,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,10dORHV,8,2010-01-13 00:00:00,,,,17.68,,,stockpx,8,2010-01-13 00:00:00,,,,16.88,,,HVStrategy,8,733785.0,SimpleMovingAverage,8,,SimpleMovingAverage,8,,RSI,8,,KST_Crossup,8,,KST_Crossdown,8,,CrossUp,8,,CrossDown,8,,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,10dORHV,9,2010-01-14 00:00:00,,,,19.14,,,stockpx,9,2010-01-14 00:00:00,,,,17.17,,,HVStrategy,9,733786.0,SimpleMovingAverage,9,,SimpleMovingAverage,9,,RSI,9,,KST_Crossup,9,,KST_Crossdown,9,,CrossUp,9,,CrossDown,9,,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,10dORHV,10,2010-01-15 00:00:00,,,,20.49,,,stockpx,10,2010-01-15 00:00:00,,,,16.85,,,HVStrategy,10,733787.0,SimpleMovingAverage,10,,SimpleMovingAverage,10,,RSI,10,,KST_Crossup,10,,KST_Crossdown,10,,CrossUp,10,,CrossDown,10,,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
