Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,Bollinger_Breakout,len,breakout,Bollinger_Breakdown,len,breakdown,Bollinger_Upperbelt,len,upperbelt,Bollinger_Lowerbelt,len,lowerbelt,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,10dORHV,stockpx
1,10dORHV,1,2010-01-04 00:00:00,,,,15.67,,,stockpx,1,2010-01-04 00:00:00,,,,30.95,,,HVStrategy,1,733776.0,Bollinger_Breakout,1,,Bollinger_Breakdown,1,,Bollinger_Upperbelt,1,,Bollinger_Lowerbelt,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,10dORHV,2,2010-01-05 00:00:00,,,,12.79,,,stockpx,2,2010-01-05 00:00:00,,,,30.93,,,HVStrategy,2,733777.0,Bollinger_Breakout,2,,Bollinger_Breakdown,2,,Bollinger_Upperbelt,2,,Bollinger_Lowerbelt,2,,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,10dORHV,3,2010-01-06 00:00:00,,,,12.7,,,stockpx,3,2010-01-06 00:00:00,,,,30.75,,,HVStrategy,3,733778.0,Bollinger_Breakout,3,,Bollinger_Breakdown,3,,Bollinger_Upperbelt,3,,Bollinger_Lowerbelt,3,,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,10dORHV,4,2010-01-07 00:00:00,,,,12.97,,,stockpx,4,2010-01-07 00:00:00,,,,30.45,,,HVStrategy,4,733779.0,Bollinger_Breakout,4,,Bollinger_Breakdown,4,,Bollinger_Upperbelt,4,,Bollinger_Lowerbelt,4,,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,10dORHV,5,2010-01-08 00:00:00,,,,13.25,,,stockpx,5,2010-01-08 00:00:00,,,,30.68,,,HVStrategy,5,733780.0,Bollinger_Breakout,5,,Bollinger_Breakdown,5,,Bollinger_Upperbelt,5,,Bollinger_Lowerbelt,5,,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,10dORHV,6,2010-01-11 00:00:00,,,,13.67,,,stockpx,6,2010-01-11 00:00:00,,,,30.24,,,HVStrategy,6,733783.0,Bollinger_Breakout,6,,Bollinger_Breakdown,6,,Bollinger_Upperbelt,6,,Bollinger_Lowerbelt,6,,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,10dORHV,7,2010-01-12 00:00:00,,,,13.56,,,stockpx,7,2010-01-12 00:00:00,,,,30.03,,,HVStrategy,7,733784.0,Bollinger_Breakout,7,,Bollinger_Breakdown,7,,Bollinger_Upperbelt,7,,Bollinger_Lowerbelt,7,,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,10dORHV,8,2010-01-13 00:00:00,,,,14.22,,,stockpx,8,2010-01-13 00:00:00,,,,30.37,,,HVStrategy,8,733785.0,Bollinger_Breakout,8,,Bollinger_Breakdown,8,,Bollinger_Upperbelt,8,,Bollinger_Lowerbelt,8,,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,10dORHV,9,2010-01-14 00:00:00,,,,15.09,,,stockpx,9,2010-01-14 00:00:00,,,,31.01,,,HVStrategy,9,733786.0,Bollinger_Breakout,9,,Bollinger_Breakdown,9,,Bollinger_Upperbelt,9,,Bollinger_Lowerbelt,9,,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,10dORHV,10,2010-01-15 00:00:00,,,,13.88,,,stockpx,10,2010-01-15 00:00:00,,,,30.9,,,HVStrategy,10,733787.0,Bollinger_Breakout,10,,Bollinger_Breakdown,10,,Bollinger_Upperbelt,10,,Bollinger_Lowerbelt,10,,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,10dORHV,11,2010-01-19 00:00:00,,,,13.43,,,stockpx,11,2010-01-19 00:00:00,,,,31.1,,,HVStrategy,11,733791.0,Bollinger_Breakout,11,,Bollinger_Breakdown,11,,Bollinger_Upperbelt,11,,Bollinger_Lowerbelt,11,,Broker,11,100000.0,100000.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,10dORHV,12,2010-01-20 00:00:00,,,,14.07,,,stockpx,12,2010-01-20 00:00:00,,,,30.61,,,HVStrategy,12,733792.0,Bollinger_Breakout,12,,Bollinger_Breakdown,12,,Bollinger_Upperbelt,12,,Bollinger_Lowerbelt,12,,Broker,12,100000.0,100000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,10dORHV,13,2010-01-21 00:00:00,,,,14.12,,,stockpx,13,2010-01-21 00:00:00,,,,30.06,,,HVStrategy,13,733793.0,Bollinger_Breakout,13,,Bollinger_Breakdown,13,,Bollinger_Upperbelt,13,,Bollinger_Lowerbelt,13,,Broker,13,100000.0,100000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,10dORHV,14,2010-01-22 00:00:00,,,,19.1,,,stockpx,14,2010-01-22 00:00:00,,,,28.95,,,HVStrategy,14,733794.0,Bollinger_Breakout,14,,Bollinger_Breakdown,14,,Bollinger_Upperbelt,14,,Bollinger_Lowerbelt,14,,Broker,14,100000.0,100000.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,10dORHV,15,2010-01-25 00:00:00,,,,22.73,,,stockpx,15,2010-01-25 00:00:00,,,,29.37,,,HVStrategy,15,733797.0,Bollinger_Breakout,15,,Bollinger_Breakdown,15,,Bollinger_Upperbelt,15,,Bollinger_Lowerbelt,15,,Broker,15,100000.0,100000.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,10dORHV,16,2010-01-26 00:00:00,,,,24.31,,,stockpx,16,2010-01-26 00:00:00,,,,29.55,,,HVStrategy,16,733798.0,Bollinger_Breakout,16,,Bollinger_Breakdown,16,,Bollinger_Upperbelt,16,,Bollinger_Lowerbelt,16,,Broker,16,100000.0,100000.0,BuySell,16,,,BuySell,16,,,DataTrades,16,,
17,10dORHV,17,2010-01-27 00:00:00,,,,24.46,,,stockpx,17,2010-01-27 00:00:00,,,,29.7,,,HVStrategy,17,733799.0,Bollinger_Breakout,17,,Bollinger_Breakdown,17,,Bollinger_Upperbelt,17,,Bollinger_Lowerbelt,17,,Broker,17,100000.0,100000.0,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,10dORHV,18,2010-01-28 00:00:00,,,,25.95,,,stockpx,18,2010-01-28 00:00:00,,,,29.29,,,HVStrategy,18,733800.0,Bollinger_Breakout,18,,Bollinger_Breakdown,18,,Bollinger_Upperbelt,18,,Bollinger_Lowerbelt,18,,Broker,18,100000.0,100000.0,BuySell,18,,,BuySell,18,,,DataTrades,18,,
19,10dORHV,19,2010-01-29 00:00:00,,,,30.8,,,stockpx,19,2010-01-29 00:00:00,,,,28.12,,,HVStrategy,19,733801.0,Bollinger_Breakout,19,,Bollinger_Breakdown,19,,Bollinger_Upperbelt,19,,Bollinger_Lowerbelt,19,,Broker,19,100000.0,100000.0,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,10dORHV,20,2010-02-01 00:00:00,,,,31.89,,,stockpx,20,2010-02-01 00:00:00,,,,28.37,,,HVStrategy,20,733804.0,Bollinger_Breakout,20,0.0,Bollinger_Breakdown,20,0.0,Bollinger_Upperbelt,20,0.0,Bollinger_Lowerbelt,20,1.0,Broker,20,100000.0,100000.0,BuySell,20,,,BuySell,20,,,DataTrades,20,,
21,10dORHV,21,2010-02-02 00:00:00,,,,31.77,,,stockpx,21,2010-02-02 00:00:00,,,,28.47,,,HVStrategy,21,733805.0,Bollinger_Breakout,21,0.0,Bollinger_Breakdown,21,0.0,Bollinger_Upperbelt,21,0.0,Bollinger_Lowerbelt,21,1.0,Broker,21,100000.0,100000.0,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,10dORHV,22,2010-02-03 00:00:00,,,,31.69,,,stockpx,22,2010-02-03 00:00:00,,,,28.61,,,HVStrategy,22,733806.0,Bollinger_Breakout,22,0.0,Bollinger_Breakdown,22,0.0,Bollinger_Upperbelt,22,0.0,Bollinger_Lowerbelt,22,1.0,Broker,22,100000.0,100000.0,BuySell,22,,,BuySell,22,,,DataTrades,22,,
23,10dORHV,23,2010-02-04 00:00:00,,,,33.48,,,stockpx,23,2010-02-04 00:00:00,,,,27.86,,,HVStrategy,23,733807.0,Bollinger_Breakout,23,0.0,Bollinger_Breakdown,23,0.0,Bollinger_Upperbelt,23,0.0,Bollinger_Lowerbelt,23,1.0,Broker,23,100000.0,100000.0,BuySell,23,,,BuySell,23,,,DataTrades,23,,
