Id,iv30,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,RSI,len,rsi,LRSI,len,lrsi,TSI,len,tsi,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,iv30,stockpx
1,iv30,1,2010-01-04 00:00:00,,,,33.88,,,stockpx,1,2010-01-04 00:00:00,,,,214.31,,,HVStrategy,1,733776.0,RSI,1,,LRSI,1,,TSI,1,,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,iv30,2,2010-01-05 00:00:00,,,,33.27,,,stockpx,2,2010-01-05 00:00:00,,,,214.27,,,HVStrategy,2,733777.0,RSI,2,,LRSI,2,,TSI,2,,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,iv30,3,2010-01-06 00:00:00,,,,32.7,,,stockpx,3,2010-01-06 00:00:00,,,,210.84,,,HVStrategy,3,733778.0,RSI,3,,LRSI,3,,TSI,3,,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,iv30,4,2010-01-07 00:00:00,,,,32.8,,,stockpx,4,2010-01-07 00:00:00,,,,210.42,,,HVStrategy,4,733779.0,RSI,4,,LRSI,4,,TSI,4,,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,iv30,5,2010-01-08 00:00:00,,,,30.21,,,stockpx,5,2010-01-08 00:00:00,,,,211.83,,,HVStrategy,5,733780.0,RSI,5,,LRSI,5,,TSI,5,,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,iv30,6,2010-01-11 00:00:00,,,,32.11,,,stockpx,6,2010-01-11 00:00:00,,,,210.23,,,HVStrategy,6,733783.0,RSI,6,,LRSI,6,0.7142857142857143,TSI,6,,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,iv30,7,2010-01-12 00:00:00,,,,36.71,,,stockpx,7,2010-01-12 00:00:00,,,,207.33,,,HVStrategy,7,733784.0,RSI,7,,LRSI,7,0.7400706282425775,TSI,7,,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,iv30,8,2010-01-13 00:00:00,,,,37.99,,,stockpx,8,2010-01-13 00:00:00,,,,210.74,,,HVStrategy,8,733785.0,RSI,8,,LRSI,8,0.7955378137474709,TSI,8,,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,iv30,9,2010-01-14 00:00:00,,,,37.23,,,stockpx,9,2010-01-14 00:00:00,,,,209.42,,,HVStrategy,9,733786.0,RSI,9,,LRSI,9,1.0,TSI,9,,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,iv30,10,2010-01-15 00:00:00,,,,38.64,,,stockpx,10,2010-01-15 00:00:00,,,,206.01,,,HVStrategy,10,733787.0,RSI,10,,LRSI,10,1.0,TSI,10,,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
