Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,SimpleMovingAverage,len,sma,ExponentialMovingAverage,len,ema,WeightedMovingAverage,len,wma,StochasticSlow,len,percK,percD,MACDHisto,len,macd,signal,histo,RSI,len,rsi,SmoothedMovingAverage,len,smma,ATR,len,atr,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
1,spx-2013-2018,1,2013-02-11 23:59:59.999989,1517.93,1518.31,1513.61,1517.01,2684100000.0,0.0,TestStrategy,1,734910.9999999999,SimpleMovingAverage,1,,ExponentialMovingAverage,1,,WeightedMovingAverage,1,,StochasticSlow,1,,,MACDHisto,1,,,,RSI,1,,SmoothedMovingAverage,1,,ATR,1,,Broker,1,100000.0,100000.0,BuySell,1,,,Trades,1,,
2,spx-2013-2018,2,2013-02-12 23:59:59.999989,1517.01,1522.29,1515.61,1519.43,3414370000.0,0.0,TestStrategy,2,734911.9999999999,SimpleMovingAverage,2,,ExponentialMovingAverage,2,,WeightedMovingAverage,2,,StochasticSlow,2,,,MACDHisto,2,,,,RSI,2,,SmoothedMovingAverage,2,,ATR,2,,Broker,2,100000.0,100000.0,BuySell,2,,,Trades,2,,
3,spx-2013-2018,3,2013-02-13 23:59:59.999989,1519.43,1524.69,1515.93,1520.33,3385880000.0,0.0,TestStrategy,3,734912.9999999999,SimpleMovingAverage,3,,ExponentialMovingAverage,3,,WeightedMovingAverage,3,,StochasticSlow,3,,,MACDHisto,3,,,,RSI,3,,SmoothedMovingAverage,3,,ATR,3,,Broker,3,100000.0,100000.0,BuySell,3,,,Trades,3,,
4,spx-2013-2018,4,2013-02-14 23:59:59.999989,1520.33,1523.14,1514.02,1521.38,3759740000.0,0.0,TestStrategy,4,734913.9999999999,SimpleMovingAverage,4,,ExponentialMovingAverage,4,,WeightedMovingAverage,4,,StochasticSlow,4,,,MACDHisto,4,,,,RSI,4,,SmoothedMovingAverage,4,,ATR,4,,Broker,4,100000.0,100000.0,BuySell,4,,,Trades,4,,
5,spx-2013-2018,5,2013-02-15 23:59:59.999989,1521.38,1524.24,1514.14,1519.79,3838510000.0,0.0,TestStrategy,5,734914.9999999999,SimpleMovingAverage,5,,ExponentialMovingAverage,5,,WeightedMovingAverage,5,,StochasticSlow,5,,,MACDHisto,5,,,,RSI,5,,SmoothedMovingAverage,5,,ATR,5,,Broker,5,100000.0,100000.0,BuySell,5,,,Trades,5,,
6,spx-2013-2018,6,2013-02-19 23:59:59.999989,1519.79,1530.94,1519.79,1530.94,3748910000.0,0.0,TestStrategy,6,734918.9999999999,SimpleMovingAverage,6,,ExponentialMovingAverage,6,,WeightedMovingAverage,6,,StochasticSlow,6,,,MACDHisto,6,,,,RSI,6,,SmoothedMovingAverage,6,,ATR,6,,Broker,6,100000.0,100000.0,BuySell,6,,,Trades,6,,
7,spx-2013-2018,7,2013-02-20 23:59:59.999989,1530.94,1530.94,1511.41,1511.95,4240570000.0,0.0,TestStrategy,7,734919.9999999999,SimpleMovingAverage,7,,ExponentialMovingAverage,7,,WeightedMovingAverage,7,,StochasticSlow,7,,,MACDHisto,7,,,,RSI,7,,SmoothedMovingAverage,7,,ATR,7,,Broker,7,100000.0,100000.0,BuySell,7,,,Trades,7,,
8,spx-2013-2018,8,2013-02-21 23:59:59.999989,1511.95,1511.95,1497.29,1502.42,4274600000.0,0.0,TestStrategy,8,734920.9999999999,SimpleMovingAverage,8,,ExponentialMovingAverage,8,,WeightedMovingAverage,8,,StochasticSlow,8,,,MACDHisto,8,,,,RSI,8,,SmoothedMovingAverage,8,,ATR,8,,Broker,8,100000.0,100000.0,BuySell,8,,,Trades,8,,
9,spx-2013-2018,9,2013-02-22 23:59:59.999989,1502.42,1515.64,1502.42,1515.6,3419320000.0,0.0,TestStrategy,9,734921.9999999999,SimpleMovingAverage,9,,ExponentialMovingAverage,9,,WeightedMovingAverage,9,,StochasticSlow,9,,,MACDHisto,9,,,,RSI,9,,SmoothedMovingAverage,9,,ATR,9,,Broker,9,100000.0,100000.0,BuySell,9,,,Trades,9,,
10,spx-2013-2018,10,2013-02-25 23:59:59.999989,1515.6,1525.84,1487.85,1487.85,4011050000.0,0.0,TestStrategy,10,734924.9999999999,SimpleMovingAverage,10,,ExponentialMovingAverage,10,,WeightedMovingAverage,10,,StochasticSlow,10,,,MACDHisto,10,,,,RSI,10,,SmoothedMovingAverage,10,,ATR,10,,Broker,10,100000.0,100000.0,BuySell,10,,,Trades,10,,
